article_id,article_url,year,volume,issue_number,title,keyword_order,keyword_raw,keyword_norm,keyword_final_en,keyword_final_polish,keyword_semantic_id,semantic_actions,translation_method,semantic_confidence,review_flag,keyword_url,normalization_actions,keyword_norm_id,keyword_concept_en_expanded,keyword_concept_polish_expanded,semantic_expanded_action,semantic_expanded_confidence,keyword_semantic_expanded_id,review_flag_expanded,keyword_concept_en_final,semantic_3c_action,semantic_3c_confidence,keyword_concept_polish_final,polish_translation_method_3c,review_flag_3c,keyword_semantic_3c_id
153098,"https://www.archivespp.pl/The-anticipated-influx-of-east-European-psychiatrists-a-sample-of-colleagues-views,153098,0,2.html",2005,7,1,"The anticipated influx of east European psychiatrists - a sample of colleagues' views from East Sussex, England",2,UK,uk,uk,Wielka Brytania,app_sem_1589,no_semantic_change,glossary_exact,high,ok,https://www.archivespp.pl/Keyword-UK/170140,lowercase,app_kw_1643,uk,Wielka Brytania,no_expanded_semantic_change,high,app_sem_exp_1424,ok,uk,no_additional_merge,high,uk,fallback_untranslated_or_international,strong_review_unresolved_acronym,app_sem3c_1146
153105,"https://www.archivespp.pl/Reaction-phases-following-HIV-positive-diagnosis,153105,0,2.html",2005,7,1,Reaction phases following HIV positive diagnosis,1,AIDS,aids,aids,AIDS,app_sem_0047,no_semantic_change,glossary_exact,high,ok,https://www.archivespp.pl/Keyword-AIDS/2333,lowercase,app_kw_0048,aids,AIDS,no_expanded_semantic_change,high,app_sem_exp_0038,ok,aids,no_additional_merge,high,aids,fallback_untranslated_or_international,strong_review_unresolved_acronym,app_sem3c_0029
153105,"https://www.archivespp.pl/Reaction-phases-following-HIV-positive-diagnosis,153105,0,2.html",2005,7,1,Reaction phases following HIV positive diagnosis,3,HIV,hiv,hiv,HIV,app_sem_0722,no_semantic_change,glossary_exact,high,ok,https://www.archivespp.pl/Keyword-HIV/1608,lowercase,app_kw_0753,hiv,HIV,no_expanded_semantic_change,high,app_sem_exp_0629,ok,hiv,no_additional_merge,high,hiv,fallback_untranslated_or_international,strong_review_unresolved_acronym,app_sem3c_0490
153109,"https://www.archivespp.pl/Posttraumatic-stress-disorder-PTSD-as-a-result-of-the-1997-flood-incidence-and-clinical,153109,0,2.html",2005,7,2,Posttraumatic stress disorder (PTSD) as a result of the 1997 flood - incidence and clinical picture,3,CIDI,cidi,cidi,CIDI,app_sem_0264,no_semantic_change,glossary_exact,high,ok,https://www.archivespp.pl/Keyword-CIDI/13441,lowercase,app_kw_0272,cidi,CIDI,no_expanded_semantic_change,high,app_sem_exp_0222,ok,cidi,no_additional_merge,high,cidi,fallback_untranslated_or_international,strong_review_unresolved_acronym,app_sem3c_0168
153130,"https://www.archivespp.pl/The-versatile-effects-of-breath-holding,153130,0,2.html",2006,8,1,The versatile effects of breath-holding,2,CO2,co2,co2,co2,app_sem_0285,no_semantic_change,untranslated_review,low,translation_review,https://www.archivespp.pl/Keyword-CO2/7374,lowercase,app_kw_0294,co2,co2,no_expanded_semantic_change,low,app_sem_exp_0243,translation_review,co2,no_additional_merge,low,co2,fallback_untranslated_or_international,strong_review_unresolved_acronym,app_sem3c_0181
153137,"https://www.archivespp.pl/Working-memory-dysfunction-in-patients-suffering-from-schizophrenia-and-their-first,153137,0,2.html",2006,8,2,Working memory dysfunction in patients suffering from schizophrenia and their first-degree relatives,4,Submit your paper,submit your paper,submit your paper,submit your paper,app_sem_1494,no_semantic_change,untranslated_review,low,translation_review,https://www.editorialsystem.com/app,lowercase,app_kw_1546,submit your paper,submit your paper,no_expanded_semantic_change,low,app_sem_exp_1341,translation_review,submit your paper,no_additional_merge,low,submit your artykuł,fallback_phrase_translation,strong_review_non_substantive_or_metadata,app_sem3c_1080
153137,"https://www.archivespp.pl/Working-memory-dysfunction-in-patients-suffering-from-schizophrenia-and-their-first,153137,0,2.html",2006,8,2,Working memory dysfunction in patients suffering from schizophrenia and their first-degree relatives,18,Privacy policy,privacy policy,privacy policy,privacy policy,app_sem_1179,no_semantic_change,untranslated_review,low,translation_review,https://www.editorialsystem.com/Privacy-policy/,lowercase,app_kw_1219,privacy policy,privacy policy,no_expanded_semantic_change,low,app_sem_exp_1057,translation_review,privacy policy,no_additional_merge,low,polityka prywatności,fallback_phrase_translation,strong_review_non_substantive_or_metadata,app_sem3c_0815
153137,"https://www.archivespp.pl/Working-memory-dysfunction-in-patients-suffering-from-schizophrenia-and-their-first,153137,0,2.html",2006,8,2,Working memory dysfunction in patients suffering from schizophrenia and their first-degree relatives,19,more,more,more,more,app_sem_0949,no_semantic_change,untranslated_review,low,translation_review,https://www.google.com/intl/eng/policies/privacy/partners/,unchanged,app_kw_0982,more,more,no_expanded_semantic_change,low,app_sem_exp_0847,translation_review,more,no_additional_merge,low,więcej,direct_rare_glossary,strong_review_non_substantive_or_metadata,app_sem3c_1184
153145,"https://www.archivespp.pl/The-Warsaw-Ghetto-Uprising-myth-and-reality,153145,0,2.html",2006,8,4,The Warsaw Ghetto Uprising: myth and reality,4,Jews,jews,jews,jews,app_sem_0827,no_semantic_change,untranslated_review,low,translation_review,https://www.archivespp.pl/Keyword-Jews/124311,lowercase,app_kw_0859,jews,jews,no_expanded_semantic_change,low,app_sem_exp_0731,translation_review,jews,no_additional_merge,low,jews,fallback_untranslated_or_international,strong_review_unresolved_acronym,app_sem3c_0582
153150,"https://www.archivespp.pl/Its-majesty-The-Self,153150,0,2.html",2007,9,1-2,Its majesty - The Self,1,self,self,self,ja,app_sem_1359,no_semantic_change,token_full,high,ok,https://www.archivespp.pl/Keyword-self/424747,unchanged,app_kw_1407,self,ja,no_expanded_semantic_change,high,app_sem_exp_1219,ok,self,no_additional_merge,high,self,fallback_untranslated_or_international,strong_review_unresolved_acronym,app_sem3c_0994
