article_id,article_url,year,volume,issue_number,title,keyword_order,keyword_raw,keyword_norm,keyword_final_en,keyword_final_polish,keyword_semantic_id,semantic_actions,translation_method,semantic_confidence,review_flag,keyword_url,normalization_actions,keyword_norm_id,keyword_concept_en_expanded,keyword_concept_polish_expanded,semantic_expanded_action,semantic_expanded_confidence,keyword_semantic_expanded_id,review_flag_expanded,keyword_concept_en_final,semantic_3c_action,semantic_3c_confidence,keyword_concept_polish_final,polish_translation_method_3c,review_flag_3c,keyword_semantic_3c_id
153098,"https://www.archivespp.pl/The-anticipated-influx-of-east-European-psychiatrists-a-sample-of-colleagues-views,153098,0,2.html",2005,7,1,"The anticipated influx of east European psychiatrists - a sample of colleagues' views from East Sussex, England",1,influx,influx,influx,napływ,app_sem_0782,no_semantic_change,glossary_exact,high,ok,https://www.archivespp.pl/Keyword-influx/437998,unchanged,app_kw_0814,influx,napływ,no_expanded_semantic_change,high,app_sem_exp_0687,ok,influx,no_additional_merge,high,napływ,previous_polish_retained,ok,app_sem3c_0702
153098,"https://www.archivespp.pl/The-anticipated-influx-of-east-European-psychiatrists-a-sample-of-colleagues-views,153098,0,2.html",2005,7,1,"The anticipated influx of east European psychiatrists - a sample of colleagues' views from East Sussex, England",2,UK,uk,uk,Wielka Brytania,app_sem_1589,no_semantic_change,glossary_exact,high,ok,https://www.archivespp.pl/Keyword-UK/170140,lowercase,app_kw_1643,uk,Wielka Brytania,no_expanded_semantic_change,high,app_sem_exp_1424,ok,uk,no_additional_merge,high,uk,fallback_untranslated_or_international,strong_review_unresolved_acronym,app_sem3c_1146
153098,"https://www.archivespp.pl/The-anticipated-influx-of-east-European-psychiatrists-a-sample-of-colleagues-views,153098,0,2.html",2005,7,1,"The anticipated influx of east European psychiatrists - a sample of colleagues' views from East Sussex, England",3,east European psychiatrists,east european psychiatrists,east european psychiatrists,psychiatrzy z Europy Wschodniej,app_sem_0503,no_semantic_change,glossary_exact,high,ok,https://www.archivespp.pl/Keyword-east+European+psychiatrists/437999,lowercase,app_kw_0520,east european psychiatrists,psychiatrzy z Europy Wschodniej,no_expanded_semantic_change,high,app_sem_exp_0435,ok,east european psychiatrists,no_additional_merge,high,east european psychiatrists,fallback_untranslated_or_international,ok,app_sem3c_0331
153098,"https://www.archivespp.pl/The-anticipated-influx-of-east-European-psychiatrists-a-sample-of-colleagues-views,153098,0,2.html",2005,7,1,"The anticipated influx of east European psychiatrists - a sample of colleagues' views from East Sussex, England",4,arrival,arrival,arrival,przyjazd,app_sem_0101,no_semantic_change,glossary_exact,high,ok,https://www.archivespp.pl/Keyword-arrival/438000,unchanged,app_kw_0106,arrival,przyjazd,no_expanded_semantic_change,high,app_sem_exp_0082,ok,arrival,no_additional_merge,high,arrival,fallback_untranslated_or_international,ok,app_sem3c_0061
153101,"https://www.archivespp.pl/Panic-and-agoraphobia-do-treatments-targeted-for-one-problem-also-improve-the-other,153101,0,2.html",2005,7,1,Panic and agoraphobia: do treatments targeted for one problem also improve the other? A pilot study,1,panic,panic,panic,panika,app_sem_1057,no_semantic_change,glossary_exact,high,ok,https://www.archivespp.pl/Keyword-panic/438004,unchanged,app_kw_1095,panic,panika,no_expanded_semantic_change,high,app_sem_exp_0947,ok,panic,no_additional_merge,high,panic,fallback_untranslated_or_international,ok,app_sem3c_0775
153101,"https://www.archivespp.pl/Panic-and-agoraphobia-do-treatments-targeted-for-one-problem-also-improve-the-other,153101,0,2.html",2005,7,1,Panic and agoraphobia: do treatments targeted for one problem also improve the other? A pilot study,2,agoraphobia,agoraphobia,agoraphobia,agorafobia,app_sem_0045,no_semantic_change,glossary_exact,high,ok,https://www.archivespp.pl/Keyword-agoraphobia/438005,unchanged,app_kw_0046,agoraphobia,agorafobia,no_expanded_semantic_change,high,app_sem_exp_0036,ok,agoraphobia,no_additional_merge,high,agoraphobia,fallback_untranslated_or_international,ok,app_sem3c_0027
153101,"https://www.archivespp.pl/Panic-and-agoraphobia-do-treatments-targeted-for-one-problem-also-improve-the-other,153101,0,2.html",2005,7,1,Panic and agoraphobia: do treatments targeted for one problem also improve the other? A pilot study,3,treatment,treatment,treatment,leczenie,app_sem_1574,no_semantic_change,glossary_exact,high,ok,https://www.archivespp.pl/Keyword-treatment/1126,unchanged,app_kw_1628,treatment,leczenie,no_expanded_semantic_change,high,app_sem_exp_1411,ok,treatment,no_additional_merge,high,leczenie,glossary_final,ok,app_sem3c_0609
153101,"https://www.archivespp.pl/Panic-and-agoraphobia-do-treatments-targeted-for-one-problem-also-improve-the-other,153101,0,2.html",2005,7,1,Panic and agoraphobia: do treatments targeted for one problem also improve the other? A pilot study,4,effectivness,effectivness,effectiveness,skuteczność,app_sem_0527,exact_map:effectivness->effectiveness,glossary_exact,high,semantic_merge_audit,https://www.archivespp.pl/Keyword-effectivness/438006,unchanged,app_kw_0553,effectiveness,skuteczność,no_expanded_semantic_change,high,app_sem_exp_0452,semantic_merge_audit,effectiveness,no_additional_merge,high,skuteczność,previous_polish_retained,ok,app_sem3c_1030
153101,"https://www.archivespp.pl/Panic-and-agoraphobia-do-treatments-targeted-for-one-problem-also-improve-the-other,153101,0,2.html",2005,7,1,Panic and agoraphobia: do treatments targeted for one problem also improve the other? A pilot study,5,guided mastery,guided mastery,guided mastery,kierowane opanowanie,app_sem_0688,no_semantic_change,glossary_exact,high,ok,https://www.archivespp.pl/Keyword-guided+mastery/438007,unchanged,app_kw_0717,guided mastery,kierowane opanowanie,no_expanded_semantic_change,high,app_sem_exp_0599,ok,guided mastery,no_additional_merge,high,guided mastery,fallback_untranslated_or_international,ok,app_sem3c_0471
153101,"https://www.archivespp.pl/Panic-and-agoraphobia-do-treatments-targeted-for-one-problem-also-improve-the-other,153101,0,2.html",2005,7,1,Panic and agoraphobia: do treatments targeted for one problem also improve the other? A pilot study,6,interceptive exposure,interceptive exposure,interceptive exposure,ekspozycja interoceptywna,app_sem_0799,no_semantic_change,glossary_exact,high,ok,https://www.archivespp.pl/Keyword-interceptive+exposure/438008,unchanged,app_kw_0831,interceptive exposure,ekspozycja interoceptywna,no_expanded_semantic_change,high,app_sem_exp_0704,ok,interceptive exposure,no_additional_merge,high,interceptive exposure,fallback_untranslated_or_international,ok,app_sem3c_0555
