term_norm_for_audit,audit_category,audit_reason,include_in_semantic_review,manual_override,manual_override_note
about,candidate_concept,kept_for_semantic_review,True,,
abraham,candidate_concept,kept_for_semantic_review,True,,
abstract,technical_artifact,explicit_artifact_rule,False,,
accepted,candidate_concept,kept_for_semantic_review,True,,
accepted publication,candidate_concept,kept_for_semantic_review,True,,
acting out,candidate_concept,kept_for_semantic_review,True,,
action,candidate_concept,kept_for_semantic_review,True,,
addressed,candidate_concept,kept_for_semantic_review,True,,
adelphi university,candidate_concept,kept_for_semantic_review,True,,
adjunct clinical professor,candidate_concept,kept_for_semantic_review,True,,
adrienne harris,candidate_concept,kept_for_semantic_review,True,,
adult,candidate_concept,kept_for_semantic_review,True,,
affect,candidate_concept,kept_for_semantic_review,True,,
after,candidate_concept,kept_for_semantic_review,True,,
against,candidate_concept,kept_for_semantic_review,True,,
alanson white,candidate_concept,kept_for_semantic_review,True,,
alanson white institute,candidate_concept,kept_for_semantic_review,True,,
all,candidate_concept,kept_for_semantic_review,True,,
alliance,candidate_concept,kept_for_semantic_review,True,,
also,candidate_concept,kept_for_semantic_review,True,,
altered body-ego experiences,candidate_concept,kept_for_semantic_review,True,,
although,candidate_concept,kept_for_semantic_review,True,,
always,candidate_concept,kept_for_semantic_review,True,,
american,candidate_concept,kept_for_semantic_review,True,,
american psychoanalytic,candidate_concept,kept_for_semantic_review,True,,
american psychoanalytic association,candidate_concept,kept_for_semantic_review,True,,
american psychological association,candidate_concept,kept_for_semantic_review,True,,
among,candidate_concept,kept_for_semantic_review,True,,
amy schwartz cooney,candidate_concept,kept_for_semantic_review,True,,
analysis,background_domain_term,explicit_background_domain_rule,False,,
analysis terminable interminable,candidate_concept,kept_for_semantic_review,True,,
analyst,background_domain_term,explicit_background_domain_rule,False,,
analyst boston psychoanalytic,candidate_concept,kept_for_semantic_review,True,,
analyst new york,candidate_concept,kept_for_semantic_review,True,,
analyst patient,background_domain_term,explicit_background_domain_rule,False,,
analyst psychoanalytic institute,candidate_concept,kept_for_semantic_review,True,,
analyst william alanson,candidate_concept,kept_for_semantic_review,True,,
analyst's,candidate_concept,kept_for_semantic_review,True,,
analysts,background_domain_term,explicit_background_domain_rule,False,,
analytic,background_domain_term,explicit_background_domain_rule,False,,
analytic press,candidate_concept,kept_for_semantic_review,True,,
analytic process,background_domain_term,explicit_background_domain_rule,False,,
analytic process runninghead,technical_artifact,explicit_artifact_rule,False,,
analytic relationship,candidate_concept,kept_for_semantic_review,True,,
analytic situation,background_domain_term,explicit_background_domain_rule,False,,
analytic treatment,background_domain_term,explicit_background_domain_rule,False,,
analytic work,background_domain_term,explicit_background_domain_rule,False,,
anna freud,candidate_concept,kept_for_semantic_review,True,,
annual meeting american,candidate_concept,kept_for_semantic_review,True,,
another,candidate_concept,kept_for_semantic_review,True,,
anxiety,candidate_concept,kept_for_semantic_review,True,,
any,candidate_concept,kept_for_semantic_review,True,,
aol com,candidate_concept,kept_for_semantic_review,True,,
apa,candidate_concept,kept_for_semantic_review,True,,
apa journal available,candidate_concept,kept_for_semantic_review,True,,
apt new york,candidate_concept,kept_for_semantic_review,True,,
arlow jacob arlow,candidate_concept,kept_for_semantic_review,True,,
aron,candidate_concept,kept_for_semantic_review,True,,
aspects,candidate_concept,kept_for_semantic_review,True,,
assessment,candidate_concept,kept_for_semantic_review,True,,
assistant clinical professor,candidate_concept,kept_for_semantic_review,True,,
associate,candidate_concept,kept_for_semantic_review,True,,
associate clinical professor,candidate_concept,kept_for_semantic_review,True,,
associate editor,candidate_concept,kept_for_semantic_review,True,,
associate editor psychoanalytic,candidate_concept,kept_for_semantic_review,True,,
associate professor,candidate_concept,kept_for_semantic_review,True,,
associate professor psychology,candidate_concept,kept_for_semantic_review,True,,
associated,candidate_concept,kept_for_semantic_review,True,,
association,candidate_concept,kept_for_semantic_review,True,,
association new york,candidate_concept,kept_for_semantic_review,True,,
association relational psychoanalysis,candidate_concept,kept_for_semantic_review,True,,
attachment,candidate_concept,kept_for_semantic_review,True,,
attachment theory,candidate_concept,kept_for_semantic_review,True,,
attempt,candidate_concept,kept_for_semantic_review,True,,
attention,candidate_concept,kept_for_semantic_review,True,,
available,candidate_concept,kept_for_semantic_review,True,,
available online service,candidate_concept,kept_for_semantic_review,True,,
avenue,candidate_concept,kept_for_semantic_review,True,,
avenue new,candidate_concept,kept_for_semantic_review,True,,
avenue new york,candidate_concept,kept_for_semantic_review,True,,
avenue suite,candidate_concept,kept_for_semantic_review,True,,
avenue suite chicago,candidate_concept,kept_for_semantic_review,True,,
avenue suite new,candidate_concept,kept_for_semantic_review,True,,
balint michael balint,candidate_concept,kept_for_semantic_review,True,,
become,candidate_concept,kept_for_semantic_review,True,,
before,candidate_concept,kept_for_semantic_review,True,,
behavior,candidate_concept,kept_for_semantic_review,True,,
belsize lane london,candidate_concept,kept_for_semantic_review,True,,
between,candidate_concept,kept_for_semantic_review,True,,
between analyst,candidate_concept,kept_for_semantic_review,True,,
between analyst analysand,candidate_concept,kept_for_semantic_review,True,,
between analyst patient,candidate_concept,kept_for_semantic_review,True,,
