semantic_family,n_articles,n_family_hits,total_terms_hit,pct_articles,n_unique_terms_hit,top1_term,top1_share_of_family_articles_pct,concentration_flag,pct_single_term_hit_rows,single_hit_flag,family_QA_flags,recommended_action
drive_conflict_defense,4268,4268,8948,35.0871,40,conflict,32.03,,44.7,,,
dream_fantasy_unconscious,3844,3844,6176,31.6014,13,unconscious,52.99,medium_top1_concentration,61.81,,medium_top1_concentration,review_family_rules
ego_self_narcissism,4910,4910,7993,40.365,22,self,53.2,medium_top1_concentration,60.65,,medium_top1_concentration,review_family_rules
object_relations,3462,3462,7330,28.461,29,object,70.74,high_top1_concentration,37.95,,high_top1_concentration,review_family_rules
kleinian_bionian,693,693,1056,5.6971,6,bion,56.85,medium_top1_concentration,54.11,,medium_top1_concentration,review_family_rules
winnicottian_environment_holding,2056,2056,2324,16.9023,7,mother,65.32,high_top1_concentration,87.84,high_single_term_dependence,high_top1_concentration | high_single_term_dependence,review_family_rules
attachment_development_infant,4630,4630,8007,38.0631,26,early,39.48,,57.73,,,
transference_countertransference,2298,2298,3717,18.8918,10,transference,76.76,high_top1_concentration,60.01,,high_top1_concentration,review_family_rules
technique_interpretation_process,3138,3138,4351,25.7974,9,interpretation,38.43,,70.33,,,
relational_intersubjective_field,4409,4409,7399,36.2463,20,relationship,59.54,medium_top1_concentration,55.73,,medium_top1_concentration,review_family_rules
trauma_dissociation_affect_regulation,4036,4036,5592,33.1799,9,emotional,25.15,,71.63,,,
psychosis_borderline_primitive_states,1196,1196,1521,9.8323,8,primitive,43.73,medium_top1_concentration,76.09,high_single_term_dependence,medium_top1_concentration | high_single_term_dependence,review_family_rules
body_sexuality_gender,2503,2503,4049,20.5771,21,sexual,39.47,,60.53,,,
language_narrative_symbolization,2838,2838,3505,23.3311,7,meaning,44.68,medium_top1_concentration,80.9,high_single_term_dependence,medium_top1_concentration | high_single_term_dependence,review_family_rules
culture_race_social_ethics,2667,2667,4128,21.9254,14,social,44.66,medium_top1_concentration,64.49,,medium_top1_concentration,review_family_rules
empirical_research_measurement,1803,1803,2756,14.8224,15,evidence,36.22,,66.78,,,
history_theory_schools,3436,3436,6259,28.2473,19,freud,90.19,high_top1_concentration,37.72,,high_top1_concentration,review_family_rules
