semantic_3c_action,keyword_concept_en_final,keyword_concept_polish_final,n_records,n_articles,input_expanded_concepts,raw_variants
merge_psychosis_schizophrenia_family,schizophrenia/psychotic disorders,schizofrenia i zaburzenia psychotyczne,120,97,alcohol psychosis | bipolar disorder | brief psychotic disorder | first psychosis | first-episode psychosis | negative symptom | positive symptom | postpartum psychosis | psychotic disorders | schizophrenia | shared psychosis | ultra-high risk of psychosis,"alcohol psychosis | brief psychotic disorder | changes in inflammatory parameters and antioxidants and their impact on clinical symptoms, including cognitive functions, in patients with schizophrenia-scoping review | chronic schizophrenia | creativity and schizophrenia: a literature review of the problem | deficit schizophrenia | effect of schizophrenia and substance use disorder on depressive symptoms and stressful life events | first episode schizophrenia | first psychosis | first-episode psychosis | first-episode schizophrenia | manic-depressive psychosis | negative symptoms | paranoid schizophrenia | positive symptoms | postpartum psychosis | psychosis | psychotic disorder | psychotic disorders | psychotic symptoms | recovery of patients with schizophrenia diagnosis in a day rehabilitation psychiatric ward | schizophrenia | sensory thresholds and the sense of bodily identity in schizophrenia | shared psychosis | ultra-high risk of psychosis"
merge_depression_family,depression/depressive disorders,depresja i zaburzenia depresyjne,101,96,anxiety/anxiety disorders | bipolar disorder | depression as defence mechanism | depression/depressive disorders | krakow depression inventory (kid),adolescent depression | anxiety and depressive disorders | child depression | depressed mood | depressin | depression | depression as defence mechanism | depressive disorder | depressive disorders | depressive symptoms | depressiveness | drug-resistant depression | etiology and symptomatology of paternal postnatal depression | krakow depression inventory (kid) | major depression | major depressive disorder | paternal postnatal depression | post-stroke depression | postnatal depression | postpartum depression | predictors of postpartum depression | recurrent depression | recurrent depressive disorder | severe depressive episode with psychotic symptoms | stress/depression | symptoms of depression | treatment resistant bipolar depression | tripartite model of anxiety and depression
merge_psychotherapy_family,psychotherapy,psychoterapia,96,84,arts psychotherapy | child psychotherapy | cognitive psychotherapy | diagnosis applied in psychotherapy | family therapy | group psychotherapy | humor in psychotherapy | infants and toddlers psychotherapy | integrative psychotherapy | long-term psychotherapy | personality oriented (reconstructive) psychotherapy | psychodynamic psychotherapy | psychotherapeutic target | psychotherapists | psychotherapy | psychotherapy integration | psychotherapy research | psychotherapy techniques | short-term psychotherapy | systemic therapy | therapeutic alliance | therapeutic process | therapeutic relationship,arts psychotherapies | arts psychotherapy | child psychotherapy | cognitive psychotherapy | diagnosis applied in psychotherapy | duration of psychotherapy | evaluation of psychotherapy treatment | family therapy | group psychotherapy | humour in psychotherapy | infants and toddlers psychotherapy | integrative psychotherapy | long-term psychotherapy | online psychotherapy | outpatient psychotherapy | personality oriented (reconstructive) psychotherapy | previous psychotherapy | psychiatrist and psychotherapist | psychodynamic psychotherapy | psychotherapetuic target | psychotherapeutic factors | psychotherapeutic pro- | psychotherapeutic target | psychotherapeutic treatment of mental illness | psychotherapist | psychotherapists | psychotherapy | psychotherapy effectiveness | psychotherapy integration | psychotherapy outcome | psychotherapy outcomes | psychotherapy process | psychotherapy research | psychotherapy techniques | short-term psychotherapy | systemic therapy | the code of ethics for psychotherapists | therapeutic alliance | therapeutic process | therapeutic relationship
merge_child_adolescent_family,children/adolescents/family,"dzieci, adolescenci i rodzina",68,57,adolescence/adolescents | adoptive family | adoptive family research methodology | adult children of alcoholics | child and adolescent psychiatry | child temperament | child trichotillomania | child's wish for a miracle | childhood/children | children and adolescents | children emotional problem | children's rights | disruptive behavior disorders in children and adolescents | family caregivers | family constellations | family consultation | family genogram interview | family history | family practice | family/family system | gender dysphoria in children | hrt in child trichotillomania | intimacy in parents' families of origin | mid-adolescence | mother-adult relations | nuclear family functioning scale | parenting | parenting response | parenting style | parents | preschool children | primary school children | relationship with the mother | relationships with the mother in the family | systemic family consultation | youth,adolescence | adolescent | adolescent girls | adolescent ward | adolescents | adoptive family | adoptive family research methodology | adult children of alcoholics | child and adolescent psychiatry | child temperament | child trichotillomania | child's wish for a miracle | childhood | children | children and adolescents | children emotional problem | children's rights | disruptive behavior disorders in children and adolescents | family | family caregivers | family constellations | family consultation | family genogram interview | family history | family practice | family system | family system characteristics | gender dysphoria in children | hrt in child trichotillomania | intimacy in parents' families of origin | mid-adolescence | mixed family | mother-adult relations | nuclear family | nuclear family functioning scale | parenting | parenting response | parenting styles | parents | preschool children | primary school children | relationship with the mother | relationships with the mother in the family | systemic family consultation | youth
merge_eating_disorders_family,eating disorders,zaburzenia odżywiania,55,47,anorexia nervosa | binge eating disorder | bulimia nervosa | eating disorders,anorexia | anorexia nervosa | binge eating disorder (bed) | bulimia | bulimia nervosa | disordered eating | eating disorder symptoms | eating disorders | eating disorders awareness | eating disorders predictors | eating disorders subtypes | feeding and eating disorders | psychogenic binge eating (bed)
merge_mental_health_disorders_family,mental health/mental disorders,zdrowie psychiczne i zaburzenia psychiczne,54,52,men's mental health | mental disorders | mental health | mental health care | pharmacotherapy | psychiatrically-impaired mental health practitioners | psychopathology | psychopathology of adolescence | terms for recipients of mental health services | women's mental health | youth mental health,community mental health services | epidemiology of mental disorders in adolescence | men's mental health | mental disorder | mental disorders | mental health | mental health care system | mental healthcare | mental illness | outpatient mental health care | pharmaceutical treatment of mental illness | prevalence of mental disorders | psychiatrically-impaired mental health practitioners | psychopathology | psychopathology of adolescence | terms for recipients of mental health services | women's mental health | youth mental health
merge_stress_coping_family,stress/coping,stres i radzenie sobie,53,41,coping strategy | coping with stress | diabetes distress | minority stress | oxidative stress | postpartum stress disorder | psychological distress | sexual minority stress scale (smss) | spiritual distress | stress | stress reactivity,chronic stress | coping strategies | coping with stress | diabetes distress | economic stresses | environmental stressors | exam stress | experimental stress | health and family stresses | minority stress | oxidative stress | perceived stress | postpartum stress disorder | psychological distress | psychological stress | sexual minority stress scale (smss) | social stress | social stresses | spiritual distress | stress | stress coping mechanisms | stress coping strategies | stress coping techniques | stress reactivity | styles of coping with stress | techniques of coping stress | work-related stress | workplace stress
merge_anxiety_family,anxiety/anxiety disorders,lęk i zaburzenia lękowe,52,50,anxiety paradoxical effects | anxiety sensitivity | anxiety/anxiety disorders | ecological anxiety | short health anxiety inventory,anxiety | anxiety disorder | anxiety disorders | anxiety paradoxical effects | anxiety sensitivity | ecological anxiety | generalized anxiety | generalized anxiety disorder | health anxiety | health anxiety to covid-19 | illness anxiety disorder | performance anxiety | short health anxiety inventory | social anxiety | youth anxiety measure for dsm-5
merge_trauma_family,trauma/traumatic experiences,trauma i doświadczenia traumatyczne,48,37,cognitive processing of trauma | cognitive trauma processing | love trauma syndrome | post-traumatic growth | post-traumatic stress disorder | professionals working with people after traumatic experiences | secondary traumatic stress | trauma/traumatic experiences | traumatic lower limb surgery,biographic traumata | childhood trauma | chronic trauma | cognitive processing of trauma | cognitive trauma processing | complex post-traumatic states | complex posttraumatic states | complex-ptsd | dissociation and trauma | early childhood trauma | experience of trauma | indirect exposure to trauma | interpersonal trauma | love trauma syndrome | post-traumatic growth | post-traumatic stress disorder | posttraumatic stress disorder (ptsd) | professionals working with people after traumatic experiences | ptsd | secondary posttraumatic growth | secondary traumatic stress | sexual traumatic events | trauma | traumatic experience | traumatic lower limb surgery
merge_assessment_psychometrics,assessment/psychometrics,ocena kliniczna i psychometria,44,41,adult assessment | assessment | attitude scale | caq-clinical analysis questionnaire | cognitive error rating scale | conners scale | coping patterns rating scale | diagnosis | differential diagnosis | dual diagnosis | experiencing scale | figure rating scale | impact of event scale-revisited | kon-2006 neurotic personality questionnaire | maslach burnout inventory | mood disorder questionnaire | neuropsychological assessment | olfactory obsessions questionnaire | personality assessment | personality belief questionnaire | positive diagnosis of neurotic disorder | psychiatric diagnosis | psychological assessment | psychological diagnosis | questionnaire | reliability | risk assessment | scale development | screening | self-assessment | the offer self-image questionnaire for adolescents | validation,adult assessment | assessment | attitude scale | caq-clinical analysis questionnaire | cognitive error rating scale | conners scale | coping patterns rating scale | diagnosis | differential diagnosis | dual diagnosis | experiencing scale | figure rating scale | impact of event scale-revisited | kon-2006 neurotic personality questionnaire | maslach burnout inventory | mood disorder questionnaire | neuropsychological assessment | olfactory obsessions questionnaire | personality assessment | personality belief questionnaire | positive diagnosis of neurotic disorders | psychiatric diagnosis | psychological assessment | psychological diagnosis | questionnaire | reliability | risk assessment | scale development | screening | self-assessment | the offer self-image questionnaire for adolescents | validation
