semantic_family,semantic_family_label,family_group,n_terms_total_mapped,n_terms_strong,n_terms_medium,n_terms_weak,n_terms_name_marker,n_top_terms_reported,n_high_risk_terms,top1_term,top1_share_of_family_articles_pct,publication_readiness_note
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,40,37,3,0,0,40,0,conflict,32.03,ready_for_supplement
dream_fantasy_unconscious,Dream / fantasy / unconscious,Classical / metapsychological,16,12,2,2,0,13,2,unconscious,52.99,ready_for_supplement
ego_self_narcissism,Ego / self / narcissism,Self / structure,27,14,9,4,0,22,4,self,53.2,review_high_risk_terms_before_main_text
object_relations,Object relations,Object-relational traditions,31,21,0,10,0,29,4,object,70.74,review_high_risk_terms_before_main_text
kleinian_bionian,Kleinian / Bionian,Object-relational traditions,6,5,0,0,1,6,1,bion,56.85,ready_for_supplement
winnicottian_environment_holding,Winnicottian / holding,Object-relational traditions,7,2,3,2,0,7,2,mother,65.32,ready_for_supplement
attachment_development_infant,Attachment / development / infant,Developmental / attachment,30,13,12,5,0,26,5,early,39.48,review_high_risk_terms_before_main_text
transference_countertransference,Transference / countertransference,Clinical process / technique,10,10,0,0,0,10,1,transference,76.76,ready_for_supplement
technique_interpretation_process,Technique / interpretation / process,Clinical process / technique,11,4,5,2,0,9,2,interpretation,38.43,ready_for_supplement
relational_intersubjective_field,Relational / intersubjective / field,Relational / contextual,24,17,3,4,0,20,4,relationship,59.54,review_high_risk_terms_before_main_text
trauma_dissociation_affect_regulation,Trauma / dissociation / affect regulation,Trauma / affect / severity,9,4,1,4,0,9,4,emotional,25.15,review_high_risk_terms_before_main_text
psychosis_borderline_primitive_states,Psychosis / borderline / primitive states,Trauma / affect / severity,9,7,1,1,0,8,2,primitive,43.73,ready_for_supplement
body_sexuality_gender,Body / sexuality / gender,Body / sexuality / gender,22,21,0,1,0,21,1,sexual,39.47,ready_for_supplement
language_narrative_symbolization,Language / narrative / symbolization,Narrative / symbolic,7,4,2,1,0,7,1,meaning,44.68,ready_for_supplement
culture_race_social_ethics,Culture / race / social / ethics,Relational / contextual,15,4,4,7,0,14,7,social,44.66,review_high_risk_terms_before_main_text
empirical_research_measurement,Empirical research / measurement,Research / method,25,8,16,1,0,15,1,evidence,36.22,ready_for_supplement
history_theory_schools,History / theory / schools,History / theory,21,17,0,0,4,19,2,freud,90.19,ready_for_supplement
