rank,term,count,doc_count,doc_pct,n_docs_base,term_norm_for_refinement,refined_audit_category,refined_audit_reason,include_in_refined_semantic_review,refinement_source_table,manual_override,manual_override_note
1,freud,5390,2350,19.3193,12164,freud,candidate_concept,protected_theoretical_name,True,global_core_terms,,
2,object,4293,1878,15.439,12164,object,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
3,ego,4140,1530,12.5781,12164,ego,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
4,transference,3795,1552,12.759,12164,transference,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
6,unconscious,3727,2029,16.6804,12164,unconscious,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
9,freud's,3486,1716,14.1072,12164,freud's,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
10,relationship,3454,2070,17.0174,12164,relationship,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
11,child,3080,1376,11.3121,12164,child,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
12,training,3007,1488,12.2328,12164,training,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
15,psychology,2919,1616,13.2851,12164,psychology,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
16,psychic,2910,1515,12.4548,12164,psychic,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
17,therapeutic,2901,1556,12.7918,12164,therapeutic,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
19,early,2825,1820,14.9622,12164,early,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
20,self,2806,1327,10.9092,12164,self,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
22,mental,2720,1609,13.2276,12164,mental,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
26,patient's,2434,1517,12.4712,12164,patient's,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
28,reality,2384,1191,9.7912,12164,reality,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
30,mind,2304,1452,11.9369,12164,mind,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
31,world,2243,1485,12.2082,12164,world,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
34,trauma,2221,884,7.2673,12164,trauma,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
36,personality,2127,1032,8.4841,12164,personality,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
37,sexual,2111,969,7.9661,12164,sexual,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
38,mother,2095,1029,8.4594,12164,mother,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
39,psychological,2045,1360,11.1805,12164,psychological,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
40,after,2011,1516,12.463,12164,after,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
41,anxiety,2011,942,7.7442,12164,anxiety,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
42,social,2011,1157,9.5117,12164,social,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
43,analyst's,2007,1048,8.6156,12164,analyst's,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
44,any,1932,1459,11.9944,12164,any,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
45,change,1930,1058,8.6978,12164,change,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
46,relational,1919,878,7.218,12164,relational,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
47,dream,1899,578,4.7517,12164,dream,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
48,sense,1890,1341,11.0243,12164,sense,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
49,thinking,1885,1197,9.8405,12164,thinking,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
50,group,1872,1016,8.3525,12164,group,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
51,nature,1862,1394,11.46,12164,nature,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
54,human,1824,1202,9.8816,12164,human,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
57,technique,1787,928,7.6291,12164,technique,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
58,interpretation,1784,916,7.5304,12164,interpretation,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
59,body,1780,833,6.8481,12164,body,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
60,complex,1750,1145,9.413,12164,complex,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
61,situation,1744,1151,9.4623,12164,situation,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
64,dreams,1706,581,4.7764,12164,dreams,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
65,children,1706,884,7.2673,12164,children,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
66,often,1697,1420,11.6738,12164,often,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
68,like,1681,1312,10.7859,12164,like,candidate_concept,kept_for_semantic_review,True,global_core_terms,,
