keyword_concept_en_expanded,keyword_concept_polish_expanded,keyword_semantic_expanded_id,n_records
depression/depressive disorders,depresja i zaburzenia depresyjne,app_sem_exp_0374,96
schizophrenia,schizofrenia,app_sem_exp_1208,86
psychotherapy,psychoterapia,app_sem_exp_1140,51
anxiety/anxiety disorders,lęk i zaburzenia lękowe,app_sem_exp_0073,50
stress,stres,app_sem_exp_1329,29
anorexia nervosa,jadłowstręt psychiczny,app_sem_exp_0061,28
covid-19,COVID-19,app_sem_exp_0328,26
trauma/traumatic experiences,trauma i doświadczenia traumatyczne,app_sem_exp_1409,24
mental health,zdrowie psychiczne,app_sem_exp_0808,22
bipolar disorder,zaburzenie afektywne dwubiegunowe,app_sem_exp_0139,21
psychotic disorders,zaburzenia psychotyczne,app_sem_exp_1144,21
cognitive functioning,funkcjonowanie poznawcze,app_sem_exp_0256,21
body image/body attitudes,obraz ciała i postawy wobec ciała,app_sem_exp_0150,19
suicidality,samobójczość,app_sem_exp_1345,18
eating disorders,zaburzenia odżywiania,app_sem_exp_0440,16
adolescence/adolescents,adolescencja i adolescenci,app_sem_exp_0017,16
alcohol use disorder,zaburzenie używania alkoholu,app_sem_exp_0042,16
mental disorders,zaburzenia psychiczne,app_sem_exp_0807,15
post-traumatic stress disorder,zespół stresu pourazowego,app_sem_exp_1034,14
quality of life,jakość życia,app_sem_exp_1153,14
cognitive behavioral therapy,terapia poznawczo-behawioralna,app_sem_exp_0249,11
gender,płeć społeczno-kulturowa,app_sem_exp_0570,11
pharmacotherapy,farmakoterapia,app_sem_exp_1001,10
obesity,otyłość,app_sem_exp_0916,10
social support,wsparcie społeczne,app_sem_exp_1299,10
psychiatry,psychiatria,app_sem_exp_1087,9
substance use disorder,zaburzenie używania substancji,app_sem_exp_1342,9
bulimia nervosa,żarłoczność psychiczna,app_sem_exp_0172,9
coping with stress,radzenie sobie ze stresem,app_sem_exp_0308,9
personality,osobowość,app_sem_exp_0990,9
comorbidity,współchorobowość,app_sem_exp_0276,9
borderline personality disorder,zaburzenie osobowości borderline,app_sem_exp_0154,9
family/family system,rodzina i system rodzinny,app_sem_exp_0530,8
treatment,leczenie,app_sem_exp_1411,8
personality disorders,zaburzenia osobowości,app_sem_exp_0993,8
attitude,postawa,app_sem_exp_0100,7
holocaust,Holokaust,app_sem_exp_0631,7
burnout,wypalenie,app_sem_exp_0176,7
antipsychotics,leki przeciwpsychotyczne,app_sem_exp_0068,7
obsessive-compulsive disorder,zaburzenie obsesyjno-kompulsyjne,app_sem_exp_0918,7
self-esteem,samoocena,app_sem_exp_1228,6
psychotherapists,psychoterapeuci,app_sem_exp_1139,6
defense mechanism,mechanizm obronny,app_sem_exp_0359,6
metabolic syndrome,zespół metaboliczny,app_sem_exp_0812,6
neurotic disorder,zaburzenie nerwicowe,app_sem_exp_0882,6
social functioning,funkcjonowanie społeczne,app_sem_exp_1292,6
autism spectrum disorder,zaburzenie ze spektrum autyzmu,app_sem_exp_0111,6
panic disorder,zaburzenie paniczne,app_sem_exp_0948,6
empathy,empatia,app_sem_exp_0483,6
psychoeducation,psychoedukacja,app_sem_exp_1100,5
women,kobiety,app_sem_exp_1464,5
family therapy,terapia rodzinna,app_sem_exp_0529,5
violence,przemoc,app_sem_exp_1443,5
psychoanalysis,psychoanaliza,app_sem_exp_1090,5
follow-up study,badanie follow-up,app_sem_exp_0553,5
non-suicidal self-injury,niesamobójcze samouszkodzenia,app_sem_exp_0901,5
coping,radzenie sobie,app_sem_exp_0301,5
aggression,agresja,app_sem_exp_0035,5
risk factor,czynnik ryzyka,app_sem_exp_1194,5
psychopathology,psychopatologia,app_sem_exp_1126,5
epidemiological study,badanie epidemiologiczne,app_sem_exp_0489,5
childhood/children,dzieciństwo i dzieci,app_sem_exp_0209,5
coping strategy,strategia radzenia sobie,app_sem_exp_0306,5
compliance,współpraca w leczeniu,app_sem_exp_0281,5
psychodynamic psychotherapy,psychoterapia psychodynamiczna,app_sem_exp_1096,5
alzheimer's disease,choroba Alzheimera,app_sem_exp_0049,5
effectiveness,skuteczność,app_sem_exp_0452,5
self-efficacy,poczucie własnej skuteczności,app_sem_exp_1227,5
emotional intelligence,inteligencja emocjonalna,app_sem_exp_0475,4
pain,ból,app_sem_exp_0943,4
negative symptom,objaw negatywny,app_sem_exp_0866,4
executive function,funkcje wykonawcze,app_sem_exp_0501,4
case study,studium przypadku,app_sem_exp_0189,4
sexuality,seksualność,app_sem_exp_1266,4
siblings,rodzeństwo,app_sem_exp_1276,4
creativity,kreatywność,app_sem_exp_0331,4
students,studenci,app_sem_exp_1337,4
adulthood/adults,dorosłość i osoby dorosłe,app_sem_exp_0024,4
attachment,przywiązanie,app_sem_exp_0095,4
mental health care,opieka psychiatryczna i zdrowia psychicznego,app_sem_exp_0809,4
asthma,astma,app_sem_exp_0090,4
pandemic,pandemia,app_sem_exp_0946,4
attention-deficit/hyperactivity disorder,ADHD,app_sem_exp_0098,4
interpretation,interpretacja,app_sem_exp_0716,4
prevalence,rozpowszechnienie,app_sem_exp_1045,4
theory of mind,teoria umysłu,app_sem_exp_1384,3
genetics,genetyka,app_sem_exp_0583,3
neuroscience,neuronauka,app_sem_exp_0879,3
sense of coherence,poczucie koherencji,app_sem_exp_1245,3
diagnosis,diagnoza,app_sem_exp_0387,3
research,badania,app_sem_exp_1181,3
resilience,rezyliencja,app_sem_exp_1184,3
dependence,uzależnienie,app_sem_exp_0370,3
dementia,otępienie,app_sem_exp_0367,3
homosexuality,homoseksualność,app_sem_exp_0634,3
group psychotherapy,psychoterapia grupowa,app_sem_exp_0594,3
group therapy,terapia grupowa,app_sem_exp_0595,3
cardiac patients,pacjenci kardiologiczni,app_sem_exp_0182,3
guilt,poczucie winy,app_sem_exp_0601,3
coping style,styl radzenia sobie,app_sem_exp_0307,3
cancer,nowotwór,app_sem_exp_0177,3
symptom dynamics,dynamika objawów,app_sem_exp_1352,3
personality traits,cechy osobowości,app_sem_exp_0997,3
self-image,ja-obraz,app_sem_exp_1231,3
rehabilitation,rehabilitacja,app_sem_exp_1162,3
parenting style,styl rodzicielski,app_sem_exp_0958,3
antidepressants,leki przeciwdepresyjne,app_sem_exp_0066,3
flexibility,elastyczność,app_sem_exp_0549,3
adoption,adopcja,app_sem_exp_0018,3
motivation,motywacja,app_sem_exp_0850,3
eating attitude,postawa wobec jedzenia,app_sem_exp_0438,3
psychophysiology,psychofizjologia,app_sem_exp_1129,3
education,edukacja,app_sem_exp_0449,3
alexithymia,aleksytymia,app_sem_exp_0046,3
psychosomatic disorder,zaburzenie psychosomatyczne,app_sem_exp_1134,3
electroconvulsive therapy,terapia elektrowstrząsowa,app_sem_exp_0459,3
emotion recognition,rozpoznawanie emocji,app_sem_exp_0465,3
emotion regulation,regulacja emocji,app_sem_exp_0466,3
chronic pain,ból przewlekły,app_sem_exp_0219,3
working memory,pamięć robocza,app_sem_exp_1467,3
psychodynamic therapy,terapia psychodynamiczna,app_sem_exp_1098,3
mindfulness,uważność,app_sem_exp_0830,3
india,Indie,app_sem_exp_0675,3
classifications in psychiatry,klasyfikacje w psychiatrii,app_sem_exp_0226,3
facial expression,ekspresja mimiczna,app_sem_exp_0515,3
children and adolescents,dzieci i adolescenci,app_sem_exp_0211,3
attachment style,styl przywiązania,app_sem_exp_0096,3
early adulthood,wczesna dorosłość,app_sem_exp_0429,3
interpersonal functioning,funkcjonowanie interpersonalne,app_sem_exp_0712,3
therapist technique,technika terapeuty,app_sem_exp_1395,3
dual diagnosis,podwójna diagnoza,app_sem_exp_0421,3
psychotherapy research,badania nad psychoterapią,app_sem_exp_1142,3
recovery,zdrowienie,app_sem_exp_1159,3
post-traumatic growth,wzrost potraumatyczny,app_sem_exp_1033,3
disability,niepełnosprawność,app_sem_exp_0398,3
questionnaire,kwestionariusz,app_sem_exp_1156,3
therapy,terapia,app_sem_exp_1397,3
assessment,ocena,app_sem_exp_0088,3
recovery from psychiatric disability,zdrowienie z niepełnosprawności psychiatrycznej,app_sem_exp_1160,3
conflict,konflikt,app_sem_exp_0290,2
sleep quality,sen jakość,app_sem_exp_1283,2
social disability,niepełnosprawność społeczna,app_sem_exp_1288,2
coronary angioplasty,angioplastyka wieńcowa,app_sem_exp_0311,2
impulsivity,impulsywność,app_sem_exp_0671,2
coronary artery disease,choroba wieńcowa,app_sem_exp_0312,2
computer-assisted image processing,komputerowo wspomagane przetwarzanie obrazu,app_sem_exp_0285,2
social media,media społecznościowe,app_sem_exp_1294,2
clinical management,postępowanie kliniczne,app_sem_exp_0232,2
