keyword_concept_polish_final,keyword_concept_polish_3d_aggregated,semantic_3d_action,semantic_3d_confidence,n_records,n_articles,example_raw_keywords
COVID-19,COVID-19 i pandemia,topic_family_aggregation,high,30,24,COVID-19 | COVID-19 pandemic | Covid-19 | SARS-COV-2 | SARS-CoV-2 | SARS-Cov-2 | coronavirus | covid-19 | pandemic | pandemics
przemoc,"agresja, przemoc i zachowania antyspołeczne",topic_family_aggregation,high,5,5,violence
kontekst sądowo-penitencjarny,"agresja, przemoc i zachowania antyspołeczne",topic_family_aggregation,high,4,4,criminal insanity | forensic psychiatry | penitentiary unit | prison
domestic przemoc,"agresja, przemoc i zachowania antyspołeczne",topic_family_aggregation,high,1,1,domestic violence
intimate partner przemoc,"agresja, przemoc i zachowania antyspołeczne",topic_family_aggregation,high,1,1,intimate partner violence
cardiac pacjenci,choroby sercowo-naczyniowe,topic_family_aggregation,high,3,3,cardiac patients
nadciśnienie,choroby sercowo-naczyniowe,topic_family_aggregation,high,2,2,hypertension
udar,choroby sercowo-naczyniowe,topic_family_aggregation,high,2,2,stroke
zawał mięśnia sercowego,choroby sercowo-naczyniowe,topic_family_aggregation,high,2,2,Myocardial Infarctions | Myocardial infarction
broken heart,choroby sercowo-naczyniowe,topic_family_aggregation,high,1,1,broken heart
cardiac zespół x,choroby sercowo-naczyniowe,topic_family_aggregation,high,1,1,cardiac syndrome X
heart transplantation,choroby sercowo-naczyniowe,topic_family_aggregation,high,1,1,heart transplantation
hypertension-mediated organ damage,choroby sercowo-naczyniowe,topic_family_aggregation,high,1,1,hypertension-mediated organ damage
otyłość,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,10,10,obesity
współchorobowość,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,9,9,co-morbidity | comorbidity
zespół metaboliczny,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,6,6,metabolic syndrome
astma,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,4,4,Asthma | asthma
ból,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,4,4,pain
nowotwór,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,3,3,cancer
angioplastyka wieńcowa,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,2,2,coronary angioplasty
choroba wieńcowa,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,2,2,coronary artery disease
ciąża,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,2,2,pregnancy
epilepsy,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,2,2,Epilepsy | epilepsy
kardiomiopatia,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,2,2,cardiomyopathy
medyczny personnel,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,2,2,medical personnel
przebieg medyczny,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,2,2,medical course
studenci medycyny,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,2,2,medical students
type 1 cukrzyca,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,2,2,Type 1 diabetes | type 1 diabetes
type 2 cukrzyca mellitus,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,2,2,type 2 diabetes mellitus
zespół fibromialgii,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,2,2,fibromyalgia syndrome
łuszczyca,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,2,2,psoriasis
aspirin-induced asthma,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,1,1,aspirin-induced asthma
asthma severity,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,1,1,asthma severity
atopic dermatitis,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,1,1,Atopic Dermatitis
breast cancer,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,1,1,breast cancer
cardiovascular ryzyko,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,1,1,cardiovascular risk
choroba Parkinsona,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,1,1,Parkinson's disease
chorobowość psychiatryczna,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,1,1,Psychiatric morbidity
choroby wewnętrzne,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,1,1,internal illnesses
choroby zakaźne,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,1,1,infectious diseases
connective tissue choroby,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,1,1,connective tissue diseases
coronary choroby,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,1,1,coronary diseases
coronary surgery,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,1,1,coronary surgery
course of illness,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,1,1,course of illness
cukrzyca,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,1,1,diabetes
cukrzyca mellitus,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,1,1,diabetes mellitus
cukrzyca type 1,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,1,1,diabetes type 1
gestational cukrzyca,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,1,1,gestational diabetes
marihuana medyczna,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,1,1,medical marihuana
medical (kliniczny) psychology,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,1,1,medical (clinical) psychology
medyczny stuff,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,1,1,medical stuff
medyczny workers,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,1,1,medical workers
myofascial ból,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,1,1,myofascial pain
pacjenci ambulatoryjni,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,1,1,medical outpatients
postrzeganie choroby,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,1,1,perception of illness
psychiatryczny illness,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,1,1,Psychiatric illness
psychologia medyczna,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,1,1,medical psychology
specjalność medyczna,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,1,1,medical speciality
statystyka medyczna,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,1,1,medical statistics
type 1 cukrzyca mellitus,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,1,1,type 1 diabetes mellitus
współchorobowość psychiatryczna,choroby somatyczne i współchorobowość medyczna,topic_family_aggregation,high,1,1,psychiatric comorbidity
ocena kliniczna i psychometria,depresja i zaburzenia depresyjne,topic_family_aggregation,high,44,41,Attitude Scale | CAQ -Clinical Analysis Questionnaire | Cognitive Error Rating Scale | Conners Scale | Experiencing Scale | Figure Rating Scale | KON-2006 Neurotic Personality Questionnaire | Maslach Burnout Inventory | Mood Disorder Questionnaire | Olfactory Obsessions Questionnaire
zaburzenie afektywne dwubiegunowe,depresja i zaburzenia depresyjne,topic_family_aggregation,high,23,22,bipolar affective disorder | bipolar affective illness | bipolar disorder | bipolar disorders | bipolar mood disorders | bipolar spectrum | spectrum of bipolar disorder
nastrój zaburzenie,depresja i zaburzenia depresyjne,topic_family_aggregation,high,1,1,mood disorder
dorosłość i osoby dorosłe,dorośli i etapy życia,topic_family_aggregation,high,4,4,adulthood | adults
wczesna dorosłość,dorośli i etapy życia,topic_family_aggregation,high,3,3,early adulthood
mężczyźni,dorośli i etapy życia,topic_family_aggregation,high,2,2,men
bisexual mężczyźni,dorośli i etapy życia,topic_family_aggregation,high,1,1,bisexual men
putamen,dorośli i etapy życia,topic_family_aggregation,high,1,1,putamen
young adults,dorośli i etapy życia,topic_family_aggregation,high,1,1,young adults
dyskineza późna,działania niepożądane i bezpieczeństwo leczenia,topic_family_aggregation,high,2,2,tardive dyskinesia
zdarzenia niepożądane,działania niepożądane i bezpieczeństwo leczenia,topic_family_aggregation,high,2,2,adverse events
