term_norm_for_refinement,refined_audit_category,refined_audit_reason,include_in_refined_semantic_review,manual_override,manual_override_note
abraham berlin,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
adjunct professor,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
american association,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
angeles california,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
assistant professor,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
associate professor,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
association,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
association atlantic,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
association chicago,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
association child,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
association december,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
association february,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
association january,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
association nhs,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
association relational,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
aviv israel,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
berlin,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
berlin germany,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
berlin karl,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
blvd suite,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
boston,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
boston mass,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
boston massachusetts,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
boston society,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
boulevard suite,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
british society,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
california,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
california faculty,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
california robert,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
california san,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
center,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
center faculty,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
center mental,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
center relational,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
center training,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
chicago,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
chicago fax,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
chicago ill,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
chicago illinois,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
coen west,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
columbia center,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
connecticut washington,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
culture society,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
dimen east,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
division,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
division american,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
doctoral program,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
east,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
east fax,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
end suite,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
england east,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
erreich west,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
faculty,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
faculty columbia,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
faculty massachusetts,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
faculty member,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
faculty national,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
faculty northern,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
faculty nyu,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
faculty postdoctoral,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
faculty san,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
faculty stephen,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
faculty supervising,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
faculty supervisor,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
fifth suite,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
fillmore san,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
foundation box,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
francisco,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
francisco calif,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
francisco california,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
francisco center,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
francisco thomas,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
free association,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
freudian society,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
gmail,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
gmail adrienne,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
gmail kerry,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
gmail orcid,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
graduate center,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
hills california,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
hospital-cornell medical,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
interests center,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
international association,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
israel,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
jerusalem israel,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
laurel san,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
los angeles,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
medical center,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
meeting division,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
member faculty,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
menninger foundation,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
michigan chicago,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
michigan suite,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
mitchell center,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
north,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
north carolina,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
north michigan,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
northern california,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
orange psyd,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
paris,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
paris france,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
park west,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
postdoctoral program,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
postgraduate center,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
professor,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
professor emeritus,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
professor postdoctoral,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
professor psychiatry,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
professor psychology,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
program,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
program associate,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
program author,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
program faculty,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
program press,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
program psychology,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
programme,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
programme committee,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
psychiatry california,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
psycho-analytical association,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
psycho-analytical society,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
psychological association,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
psyd,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
san,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
san francisco,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
scott san,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
society,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
society june,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
society november,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
south,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
south africa,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
south michigan,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
south suite,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
study center,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
suite,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
suite ann,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
suite anne,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
suite chicago,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
suite fax,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
suite los,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
suite san,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
suite stamford,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
supervising boston,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
supervising faculty,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
supervising san,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
supervisor faculty,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
sutter san,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
toronto ontario,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
training program,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
unit,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
washington,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
west,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
west end,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
west suite,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
white faculty,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
concept,background_domain_term,background_domain_rule,False,,
concepts,background_domain_term,background_domain_rule,False,,
abbot bronstein,candidate_concept,kept_for_semantic_review,True,,
able,candidate_concept,kept_for_semantic_review,True,,
abpp,candidate_concept,kept_for_semantic_review,True,,
abraham karl,candidate_concept,kept_for_semantic_review,True,,
abraham lincoln,candidate_concept,kept_for_semantic_review,True,,
abuse,candidate_concept,kept_for_semantic_review,True,,
accepted,candidate_concept,kept_for_semantic_review,True,,
accepted april,candidate_concept,kept_for_semantic_review,True,,
accepted december,candidate_concept,kept_for_semantic_review,True,,
accepted february,candidate_concept,kept_for_semantic_review,True,,
accepted january,candidate_concept,kept_for_semantic_review,True,,
accepted july,candidate_concept,kept_for_semantic_review,True,,
accepted june,candidate_concept,kept_for_semantic_review,True,,
accepted march,candidate_concept,kept_for_semantic_review,True,,
accepted november,candidate_concept,kept_for_semantic_review,True,,
accepted october,candidate_concept,kept_for_semantic_review,True,,
accepted publication,candidate_concept,kept_for_semantic_review,True,,
accepted september,candidate_concept,kept_for_semantic_review,True,,
access,candidate_concept,kept_for_semantic_review,True,,
according,candidate_concept,kept_for_semantic_review,True,,
account,candidate_concept,kept_for_semantic_review,True,,
across,candidate_concept,kept_for_semantic_review,True,,
acting out,candidate_concept,kept_for_semantic_review,True,,
action,candidate_concept,kept_for_semantic_review,True,,
adaptive,candidate_concept,kept_for_semantic_review,True,,
address,candidate_concept,kept_for_semantic_review,True,,
address american,candidate_concept,kept_for_semantic_review,True,,
addressed,candidate_concept,kept_for_semantic_review,True,,
addresses,candidate_concept,kept_for_semantic_review,True,,
adjunct,candidate_concept,kept_for_semantic_review,True,,
adrienne harris,candidate_concept,kept_for_semantic_review,True,,
adult,candidate_concept,kept_for_semantic_review,True,,
adult attachment,candidate_concept,kept_for_semantic_review,True,,
advisory board,candidate_concept,kept_for_semantic_review,True,,
affect,candidate_concept,kept_for_semantic_review,True,,
affect regulation,candidate_concept,kept_for_semantic_review,True,,
affective,candidate_concept,kept_for_semantic_review,True,,
affiliated nyu,candidate_concept,kept_for_semantic_review,True,,
african american,candidate_concept,kept_for_semantic_review,True,,
after,candidate_concept,kept_for_semantic_review,True,,
against,candidate_concept,kept_for_semantic_review,True,,
age,candidate_concept,kept_for_semantic_review,True,,
aggression,candidate_concept,kept_for_semantic_review,True,,
aggressive,candidate_concept,kept_for_semantic_review,True,,
aggressive drives,candidate_concept,kept_for_semantic_review,True,,
aggressive impulses,candidate_concept,kept_for_semantic_review,True,,
aim,candidate_concept,kept_for_semantic_review,True,,
aim study,candidate_concept,kept_for_semantic_review,True,,
aimed,candidate_concept,kept_for_semantic_review,True,,
ainsi que,candidate_concept,kept_for_semantic_review,True,,
aires,candidate_concept,kept_for_semantic_review,True,,
aires argentina,candidate_concept,kept_for_semantic_review,True,,
alan sugarman,candidate_concept,kept_for_semantic_review,True,,
alanson,candidate_concept,kept_for_semantic_review,True,,
alanson white,candidate_concept,kept_for_semantic_review,True,,
alerts,candidate_concept,kept_for_semantic_review,True,,
alerts notified,candidate_concept,kept_for_semantic_review,True,,
alessandra lemma,candidate_concept,kept_for_semantic_review,True,,
alexis brook,candidate_concept,kept_for_semantic_review,True,,
alla,candidate_concept,kept_for_semantic_review,True,,
alliance,candidate_concept,kept_for_semantic_review,True,,
alliant international,candidate_concept,kept_for_semantic_review,True,,
allows,candidate_concept,kept_for_semantic_review,True,,
almost,candidate_concept,kept_for_semantic_review,True,,
already,candidate_concept,kept_for_semantic_review,True,,
als,candidate_concept,kept_for_semantic_review,True,,
als auch,candidate_concept,kept_for_semantic_review,True,,
always,candidate_concept,kept_for_semantic_review,True,,
american,candidate_concept,kept_for_semantic_review,True,,
american psychological,candidate_concept,kept_for_semantic_review,True,,
amy cooney,candidate_concept,kept_for_semantic_review,True,,
amy schwartz,candidate_concept,kept_for_semantic_review,True,,
anal erotism,candidate_concept,kept_for_semantic_review,True,,
analysand's,candidate_concept,kept_for_semantic_review,True,,
analyst's,candidate_concept,kept_for_semantic_review,True,,
analyst's interpretations,candidate_concept,kept_for_semantic_review,True,,
analyst's mind,candidate_concept,kept_for_semantic_review,True,,
analyst's subjectivity,candidate_concept,kept_for_semantic_review,True,,
analytical,candidate_concept,kept_for_semantic_review,True,,
analytical situation,candidate_concept,kept_for_semantic_review,True,,
andr green,candidate_concept,kept_for_semantic_review,True,,
anger,candidate_concept,kept_for_semantic_review,True,,
ann,candidate_concept,kept_for_semantic_review,True,,
ann arbor,candidate_concept,kept_for_semantic_review,True,,
anna freud,candidate_concept,kept_for_semantic_review,True,,
anne erreich,candidate_concept,kept_for_semantic_review,True,,
annual,candidate_concept,kept_for_semantic_review,True,,
annual essay,candidate_concept,kept_for_semantic_review,True,,
annual meeting,candidate_concept,kept_for_semantic_review,True,,
anorexia nervosa,candidate_concept,kept_for_semantic_review,True,,
anthony bass,candidate_concept,kept_for_semantic_review,True,,
antony garelick,candidate_concept,kept_for_semantic_review,True,,
anxieties,candidate_concept,kept_for_semantic_review,True,,
anxiety,candidate_concept,kept_for_semantic_review,True,,
any,candidate_concept,kept_for_semantic_review,True,,
any rate,candidate_concept,kept_for_semantic_review,True,,
any time,candidate_concept,kept_for_semantic_review,True,,
