keyword_concept_en_expanded,keyword_concept_polish_expanded,n_records,n_input_concepts,input_concepts,actions
depression/depressive disorders,depresja i zaburzenia depresyjne,96,22,adolescent depression | child depression | depressed mood | depressin | depression | depressive disorder | depressive symptom | depressiveness | drug-resistant depression | etiology and symptomatology of paternal postnatal depression | major depression | major depressive disorder | paternal postnatal depression | post-stroke depression | postnatal depression | postpartum depression | predictors of postpartum depression | recurrent depression | recurrent depressive disorder | severe depressive episode with psychotic symptom | stress/depression | symptoms of depression,expanded_merge_broad_clinical
stress,stres,29,13,chronic stress | economic stresses | environmental stressors | exam stress | experimental stress | health and family stresses | perceived stress | psychological stress | social stress | social stresses | stress | work-related stress | workplace stress,expanded_merge_broad_construct
psychotherapy,psychoterapia,51,12,duration of psychotherapy | evaluation of psychotherapy treatment | online psychotherapy | outpatient psychotherapy | previous psychotherapy | psychotherapeutic factor | psychotherapeutic process | psychotherapeutic treatment of mental illness | psychotherapy | psychotherapy effectiveness | psychotherapy outcome | psychotherapy process,expanded_merge_broad_psychotherapy
anxiety/anxiety disorders,lęk i zaburzenia lękowe,50,12,anxiety | anxiety and depressive disorder | anxiety disorder | generalized anxiety | generalized anxiety disorder | health anxiety | health anxiety to covid-19 | illness anxiety disorder | performance anxiety | social anxiety | tripartite model of anxiety and depression | youth anxiety measure for dsm-5,expanded_merge_broad_clinical
trauma/traumatic experiences,trauma i doświadczenia traumatyczne,24,11,biographic traumata | childhood trauma | chronic trauma | dissociation and trauma | early childhood trauma | experience of trauma | indirect exposure to trauma | interpersonal trauma | sexual traumatic events | trauma | traumatic experience,expanded_merge_broad_trauma
body image/body attitudes,obraz ciała i postawy wobec ciała,19,11,body attitude | body dissatisfaction | body esteem | body image | body image concern | body image disturbance | body image perception | body percept | body self | disordered body image | distorted body image,expanded_merge_broad_construct
schizophrenia,schizofrenia,86,10,"changes in inflammatory parameters and antioxidants and their impact on clinical symptoms, including cognitive functions, in patients with schizophrenia-scoping review | chronic schizophrenia | creativity and schizophrenia: a literature review of the problem | deficit schizophrenia | effect of schizophrenia and substance use disorder on depressive symptoms and stressful life events | first-episode schizophrenia | paranoid schizophrenia | recovery of patients with schizophrenia diagnosis in a day rehabilitation psychiatric ward | schizophrenia | sensory thresholds and the sense of bodily identity in schizophrenia",expanded_merge_subtype_to_parent
cognitive functioning,funkcjonowanie poznawcze,21,9,cognition | cognitive deficits | cognitive dysfunction | cognitive function | cognitive functioning | cognitive impairment in aud | cognitive impairments | neurocognitive function | neurocognitive impairement,expanded_merge_broad_cognitive
alcohol use disorder,zaburzenie używania alkoholu,16,7,alcohol abuse | alcohol addiction | alcohol dependence | alcohol use disorder | alcohol-addiction | alcoholism | alcoholism morbidity rate,expanded_merge_historical_terms
eating disorders,zaburzenia odżywiania,16,7,disordered eating | eating disorder | eating disorder symptom | eating disorders awareness | eating disorders predictors | eating disorders subtypes | feeding and eating disorder,expanded_merge_broad_clinical
suicidality,samobójczość,18,6,attempted suicide | suicidal behavior | suicidal thoughts | suicide | suicide attempt | suicide ideation,expanded_merge_broad_clinical
coping with stress,radzenie sobie ze stresem,9,6,coping with stress | stress coping mechanism | stress coping strategy | stress coping technique | styles of coping with stress | techniques of coping stress,expanded_merge_synonym
adolescence/adolescents,adolescencja i adolescenci,16,5,adolescence | adolescent | adolescent girls | adolescent ward | adolescents,expanded_merge_life_stage
quality of life,jakość życia,14,5,health related quality of life | oral health related quality of life | quality of life | quality of life (qol) | subjective quality of life,expanded_merge_synonym
family/family system,rodzina i system rodzinny,8,5,family | family system | family system characteristics | mixed family | nuclear family,expanded_merge_broad_construct
covid-19,COVID-19,26,4,coronavirus | covid-19 | covid-19 pandemic | sars-cov-2,expanded_merge_covid_terms
bipolar disorder,zaburzenie afektywne dwubiegunowe,21,4,bipolar affective disorder | bipolar disorder | manic-depressive psychosis | treatment resistant bipolar depression,expanded_merge_synonym
mental disorders,zaburzenia psychiczne,15,4,epidemiology of mental disorders in adolescence | mental disorder | mental illness | prevalence of mental disorder,expanded_merge_broad_clinical
post-traumatic stress disorder,zespół stresu pourazowego,14,4,complex post-traumatic states | complex-ptsd | post-traumatic stress disorder | posttraumatic stress disorder (ptsd),expanded_merge_ptsd_variants
substance use disorder,zaburzenie używania substancji,9,4,drug addiction | obsessive compulsive symptoms and symptoms of psychoactive substance use | substance abuse | substance use disorder,expanded_merge_historical_terms
autism spectrum disorder,zaburzenie ze spektrum autyzmu,6,4,autism | autism spectrum | autism spectrum disorder | autism_,expanded_merge_synonym
mental health care,opieka psychiatryczna i zdrowia psychicznego,4,4,community mental health services | mental health care system | mental healthcare | outpatient mental health care,expanded_merge_service_terms
psychotic disorders,zaburzenia psychotyczne,21,3,psychosis | psychotic disorder | psychotic symptom,expanded_merge_broad_clinical
pharmacotherapy,farmakoterapia,10,3,pharmaceutical treatment of mental illness | pharmacotherapy | problems of drug therapy,expanded_merge_treatment_terms
psychotherapists,psychoterapeuci,6,3,psychiatrist and psychotherapist | psychotherapist | the code of ethics for psychotherapist,expanded_merge_professional_role
attention-deficit/hyperactivity disorder,ADHD,4,3,: attention deficit hyperactivity disorder | adhd | adult attention deficit hyperactivity disorder,expanded_merge_abbreviation
anorexia nervosa,jadłowstręt psychiczny,28,2,anorexia | anorexia nervosa,expanded_merge_synonym
gender,płeć społeczno-kulturowa,11,2,gender | gender identity,expanded_merge_broad_construct
social support,wsparcie społeczne,10,2,social support | support group,expanded_merge_synonym
borderline personality disorder,zaburzenie osobowości borderline,9,2,borderline personality disorder | bpd,expanded_merge_abbreviation
bulimia nervosa,żarłoczność psychiczna,9,2,bulimia | bulimia nervosa,expanded_merge_synonym
antipsychotics,leki przeciwpsychotyczne,7,2,antipsychotic | antipsychotic agents,expanded_merge_singular_plural
childhood/children,dzieciństwo i dzieci,5,2,childhood | children,expanded_merge_life_stage
non-suicidal self-injury,niesamobójcze samouszkodzenia,5,2,non suicidal self-injury | self-harm,expanded_merge_synonym
adulthood/adults,dorosłość i osoby dorosłe,4,2,adulthood | adults,expanded_merge_life_stage
post-traumatic growth,wzrost potraumatyczny,3,2,post-traumatic growth | secondary posttraumatic growth,expanded_merge_synonym
arts psychotherapy,psychoterapia przez sztukę,2,2,arts psychotherapies | arts psychotherapy,expanded_merge_singular_plural
binge eating disorder,zaburzenie z napadami objadania się,2,2,binge eating disorder (bed) | psychogenic binge eating (bed),expanded_merge_synonym
