semantic_family,semantic_family_label,family_group,marker_strength,n_terms,example_terms
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,strong,37,aggressive drives | castration anxiety | castration complex | conflict | conflicts | death drive | death instinct | defence | defence against | defence mechanism | defence mechanisms | defences against
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,medium,3,aggression | aggressive | aggressive impulses
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,weak,0,
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,name_marker,0,
dream_fantasy_unconscious,Dream / fantasy / unconscious,Classical / metapsychological,strong,12,conscious unconscious | content dream | dream | dreams | fantasies | fantasy | interpretation dreams | psychic reality | unconscious fantasies | unconscious fantasy | unconscious phantasies | unconscious phantasy
dream_fantasy_unconscious,Dream / fantasy / unconscious,Classical / metapsychological,medium,2,wish enter | wishes
dream_fantasy_unconscious,Dream / fantasy / unconscious,Classical / metapsychological,weak,2,unconscious | wish
dream_fantasy_unconscious,Dream / fantasy / unconscious,Classical / metapsychological,name_marker,0,
ego_self_narcissism,Ego / self / narcissism,Self / structure,strong,14,early ego | ego function | ego functions | ego ideal | ego psychology | ego superego | function ego | functions ego | narcissism | narcissistic | narcissistic pathology | narcissistic personality
ego_self_narcissism,Ego / self / narcissism,Self / structure,medium,9,analyst's subjectivity | parts self | self psychological | self psychology | self-esteem | self-report | sense guilt | sense self | shame
ego_self_narcissism,Ego / self / narcissism,Self / structure,weak,4,ego | identity | self | subjectivity
ego_self_narcissism,Ego / self / narcissism,Self / structure,name_marker,0,
object_relations,Object relations,Object-relational traditions,strong,21,cognition object | depressive position | early object | external objects | internal object | internal objects | internalized object | love object | object choice | object constancy | object loss | object relations
object_relations,Object relations,Object-relational traditions,medium,0,
object_relations,Object relations,Object-relational traditions,weak,10,external | external reality | external world | internal | internal external | internal world | object | objects | patient's internal | relation external
object_relations,Object relations,Object-relational traditions,name_marker,0,
kleinian_bionian,Kleinian / Bionian,Object-relational traditions,strong,5,bion's | containment | klein melanie | melanie klein | melanie klein's
kleinian_bionian,Kleinian / Bionian,Object-relational traditions,medium,0,
kleinian_bionian,Kleinian / Bionian,Object-relational traditions,weak,0,
kleinian_bionian,Kleinian / Bionian,Object-relational traditions,name_marker,1,bion
winnicottian_environment_holding,Winnicottian / holding,Object-relational traditions,strong,2,potential space | winnicott's collected
winnicottian_environment_holding,Winnicottian / holding,Object-relational traditions,medium,3,external environment | father mother | mother child
