rank,term,count,doc_count,doc_pct,n_docs_base,term_norm_for_refinement,refined_audit_category,refined_audit_reason,include_in_refined_semantic_review,refinement_source_table,manual_override,manual_override_note,term_norm_final_cleanup,final_cleanup_category,final_cleanup_reason,include_in_final_semantic_review,final_cleanup_source_table
1,object relations,861,495,4.0694,12164,object relations,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,object relations,final_keep,protected_psychoanalytic_term,True,global_core_bigrams
4,mental health,607,378,3.1075,12164,mental health,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,mental health,final_keep,kept_after_final_cleanup,True,global_core_bigrams
5,training supervising,515,479,3.9378,12164,training supervising,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,training supervising,final_keep,kept_after_final_cleanup,True,global_core_bigrams
6,oedipus complex,502,241,1.9813,12164,oedipus complex,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,oedipus complex,final_keep,kept_after_final_cleanup,True,global_core_bigrams
8,acting out,466,164,1.3482,12164,acting out,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,acting out,final_keep,kept_after_final_cleanup,True,global_core_bigrams
10,projective identification,422,215,1.7675,12164,projective identification,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,projective identification,final_keep,kept_after_final_cleanup,True,global_core_bigrams
11,sigmund freud,408,199,1.636,12164,sigmund freud,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,sigmund freud,final_keep,kept_after_final_cleanup,True,global_core_bigrams
12,correspondence addressed,408,408,3.3542,12164,correspondence addressed,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,correspondence addressed,final_keep,kept_after_final_cleanup,True,global_core_bigrams
13,anna freud,381,193,1.5866,12164,anna freud,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,anna freud,final_keep,kept_after_final_cleanup,True,global_core_bigrams
14,final version,372,371,3.05,12164,final version,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,final version,final_keep,kept_after_final_cleanup,True,global_core_bigrams
16,version accepted,363,363,2.9842,12164,version accepted,candidate_concept,kept_for_semantic_review,True,global_core_bigrams,,,version accepted,final_keep,kept_after_final_cleanup,True,global_core_bigrams
