term_norm_for_refinement,refined_audit_category,refined_audit_reason,include_in_refined_semantic_review,manual_override,manual_override_note
abraham berlin,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
adjunct professor,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
american association,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
angeles california,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
assistant professor,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
associate professor,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
association,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
association atlantic,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
association chicago,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
association child,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
association december,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
association february,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
association january,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
association nhs,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
association relational,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
aviv israel,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
berlin,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
berlin germany,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
berlin karl,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
blvd suite,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
boston,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
boston mass,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
boston massachusetts,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
boston society,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
boulevard suite,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
british society,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
california,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
california faculty,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
california robert,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
california san,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
center,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
center faculty,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
center mental,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
center relational,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
center training,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
chicago,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
chicago fax,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
chicago ill,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
chicago illinois,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
coen west,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
columbia center,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
connecticut washington,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
culture society,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
dimen east,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
division,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
division american,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
doctoral program,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
east,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
east fax,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
end suite,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
england east,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
erreich west,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
faculty,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
faculty columbia,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
faculty massachusetts,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
faculty member,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
faculty national,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
faculty northern,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
faculty nyu,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
faculty postdoctoral,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
faculty san,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
faculty stephen,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
faculty supervising,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
faculty supervisor,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
fifth suite,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
fillmore san,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
foundation box,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
francisco,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
francisco calif,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
francisco california,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
francisco center,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
francisco thomas,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
free association,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
freudian society,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
gmail,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
gmail adrienne,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
gmail kerry,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
gmail orcid,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
graduate center,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
hills california,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
hospital-cornell medical,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
interests center,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
international association,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
israel,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
jerusalem israel,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
laurel san,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
los angeles,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
medical center,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
meeting division,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
member faculty,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
menninger foundation,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
michigan chicago,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
michigan suite,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
mitchell center,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
north,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
north carolina,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
north michigan,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
northern california,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
orange psyd,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
paris,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
paris france,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
park west,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
postdoctoral program,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
postgraduate center,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
professor,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
professor emeritus,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
professor postdoctoral,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
professor psychiatry,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
professor psychology,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
program,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
program associate,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
program author,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
program faculty,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
program press,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
program psychology,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
programme,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
programme committee,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
psychiatry california,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
psycho-analytical association,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
psycho-analytical society,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
psychological association,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
psyd,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
san,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
san francisco,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
scott san,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
society,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
society june,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
society november,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
south,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
south africa,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
south michigan,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
south suite,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
study center,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
suite,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
suite ann,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
suite anne,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
suite chicago,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
suite fax,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
suite los,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
suite san,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
suite stamford,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
supervising boston,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
supervising faculty,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
supervising san,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
supervisor faculty,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
sutter san,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
toronto ontario,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
training program,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
unit,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
washington,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
west,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
west end,affiliation_or_metadata_noise,phrase_contains_affiliation_metadata,False,,
west suite,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
white faculty,affiliation_or_metadata_noise,affiliation_metadata_rule,False,,
concept,background_domain_term,background_domain_rule,False,,
concepts,background_domain_term,background_domain_rule,False,,
argued,generic_academic_language,generic_academic_rule,False,,
argues,generic_academic_language,generic_academic_rule,False,,
articles,generic_academic_language,generic_academic_rule,False,,
author,generic_academic_language,generic_academic_rule,False,,
authors,generic_academic_language,generic_academic_rule,False,,
based,generic_academic_language,generic_academic_rule,False,,
based read,generic_academic_language,generic_academic_rule,False,,
book,generic_academic_language,generic_academic_rule,False,,
book series,generic_academic_language,generic_academic_rule,False,,
books,generic_academic_language,generic_academic_rule,False,,
conclusions,generic_academic_language,generic_academic_rule,False,,
considered,generic_academic_language,generic_academic_rule,False,,
considers,generic_academic_language,generic_academic_rule,False,,
described,generic_academic_language,generic_academic_rule,False,,
describes,generic_academic_language,generic_academic_rule,False,,
discuss,generic_academic_language,generic_academic_rule,False,,
discussed,generic_academic_language,generic_academic_rule,False,,
discusses,generic_academic_language,generic_academic_rule,False,,
discussion,generic_academic_language,generic_academic_rule,False,,
discussion discussion,generic_academic_language,generic_academic_rule,False,,
discussion parent-infant,generic_academic_language,generic_academic_rule,False,,
empirical,generic_academic_language,generic_academic_rule,False,,
examined,generic_academic_language,generic_academic_rule,False,,
examines,generic_academic_language,generic_academic_rule,False,,
example,generic_academic_language,generic_academic_rule,False,,
examples,generic_academic_language,generic_academic_rule,False,,
explored,generic_academic_language,generic_academic_rule,False,,
explores,generic_academic_language,generic_academic_rule,False,,
interview,generic_academic_language,generic_academic_rule,False,,
interviews,generic_academic_language,generic_academic_rule,False,,
introduction,generic_academic_language,generic_academic_rule,False,,
introduction introduction,generic_academic_language,generic_academic_rule,False,,
present,generic_academic_language,generic_academic_rule,False,,
present study,generic_academic_language,generic_academic_rule,False,,
present time,generic_academic_language,generic_academic_rule,False,,
presentation,generic_academic_language,generic_academic_rule,False,,
presented,generic_academic_language,generic_academic_rule,False,,
presented annual,generic_academic_language,generic_academic_rule,False,,
presented before,generic_academic_language,generic_academic_rule,False,,
presented illustrate,generic_academic_language,generic_academic_rule,False,,
presented midwinter,generic_academic_language,generic_academic_rule,False,,
presented panel,generic_academic_language,generic_academic_rule,False,,
presented part,generic_academic_language,generic_academic_rule,False,,
presented plenary,generic_academic_language,generic_academic_rule,False,,
presents,generic_academic_language,generic_academic_rule,False,,
proposed,generic_academic_language,generic_academic_rule,False,,
proposes,generic_academic_language,generic_academic_rule,False,,
qualitative,generic_academic_language,generic_academic_rule,False,,
questionnaire,generic_academic_language,generic_academic_rule,False,,
result,generic_academic_language,generic_academic_rule,False,,
results,generic_academic_language,generic_academic_rule,False,,
review,generic_academic_language,generic_academic_rule,False,,
review books,generic_academic_language,generic_academic_rule,False,,
sample,generic_academic_language,generic_academic_rule,False,,
studies,generic_academic_language,generic_academic_rule,False,,
studies eligible,generic_academic_language,generic_academic_rule,False,,
studies gender,generic_academic_language,generic_academic_rule,False,,
study,generic_academic_language,generic_academic_rule,False,,
study aimed,generic_academic_language,generic_academic_rule,False,,
study carried,generic_academic_language,generic_academic_rule,False,,
study examined,generic_academic_language,generic_academic_rule,False,,
study group,generic_academic_language,generic_academic_rule,False,,
study prizes,generic_academic_language,generic_academic_rule,False,,
study proposals,generic_academic_language,generic_academic_rule,False,,
study subjectivity,generic_academic_language,generic_academic_rule,False,,
suggested,generic_academic_language,generic_academic_rule,False,,
suggests,generic_academic_language,generic_academic_rule,False,,
summary,generic_academic_language,generic_academic_rule,False,,
summary attempted,generic_academic_language,generic_academic_rule,False,,
summary author,generic_academic_language,generic_academic_rule,False,,
summary concept,generic_academic_language,generic_academic_rule,False,,
summary describes,generic_academic_language,generic_academic_rule,False,,
summary freud's,generic_academic_language,generic_academic_rule,False,,
summary presented,generic_academic_language,generic_academic_rule,False,,
summary presents,generic_academic_language,generic_academic_rule,False,,
summary study,generic_academic_language,generic_academic_rule,False,,
again,generic_discourse_language,generic_discourse_rule,False,,
approach,generic_discourse_language,generic_discourse_rule,False,,
approach problem,generic_discourse_language,generic_discourse_rule,False,,
approaches,generic_discourse_language,generic_discourse_rule,False,,
author argues,generic_discourse_language,all_tokens_generic_or_background,False,,
author considers,generic_discourse_language,all_tokens_generic_or_background,False,,
author describes,generic_discourse_language,all_tokens_generic_or_background,False,,
author discusses,generic_discourse_language,all_tokens_generic_or_background,False,,
author examines,generic_discourse_language,all_tokens_generic_or_background,False,,
author explores,generic_discourse_language,all_tokens_generic_or_background,False,,
author presents,generic_discourse_language,all_tokens_generic_or_background,False,,
author proposes,generic_discourse_language,all_tokens_generic_or_background,False,,
author suggests,generic_discourse_language,all_tokens_generic_or_background,False,,
authors present,generic_discourse_language,all_tokens_generic_or_background,False,,
become,generic_discourse_language,generic_discourse_rule,False,,
before,generic_discourse_language,generic_discourse_rule,False,,
empirical studies,generic_discourse_language,all_tokens_generic_or_background,False,,
empirical study,generic_discourse_language,all_tokens_generic_or_background,False,,
especially,generic_discourse_language,generic_discourse_rule,False,,
even,generic_discourse_language,generic_discourse_rule,False,,
good,generic_discourse_language,generic_discourse_rule,False,,
importance,generic_discourse_language,generic_discourse_rule,False,,
individual,generic_discourse_language,generic_discourse_rule,False,,
individuals,generic_discourse_language,generic_discourse_rule,False,,
