article_id,article_url,year,volume,issue_number,title,keyword_order,keyword_raw,keyword_norm,keyword_final_en,keyword_final_polish,keyword_semantic_id,semantic_actions,translation_method,semantic_confidence,review_flag,keyword_url,normalization_actions,keyword_norm_id,keyword_concept_en_expanded,keyword_concept_polish_expanded,semantic_expanded_action,semantic_expanded_confidence,keyword_semantic_expanded_id,review_flag_expanded
153102,"https://www.archivespp.pl/Obessive-compulsive-disorder-psychopathology-and-therapy,153102,0,2.html",2005,7,1,Obessive-compulsive disorder - psychopathology and therapy,2,psychotherapy outcome,psychotherapy outcome,psychotherapy outcome,wynik psychoterapii,app_sem_1273,no_semantic_change,glossary_exact,high,ok,https://www.archivespp.pl/Keyword-psychotherapy+outcome/213183,unchanged,app_kw_1317,psychotherapy,psychoterapia,expanded_merge_broad_psychotherapy,medium,app_sem_exp_1140,expanded_semantic_merge_audit|review_broad_merge
153103,"https://www.archivespp.pl/Systems-consultation-opportunities-and-limitations,153103,0,2.html",2005,7,1,Systems consultation: opportunities and limitations,2,psychosis,psychosis,psychosis,psychoza,app_sem_1256,no_semantic_change,glossary_exact,high,ok,https://www.archivespp.pl/Keyword-psychosis/1699,unchanged,app_kw_1297,psychotic disorders,zaburzenia psychotyczne,expanded_merge_broad_clinical,medium,app_sem_exp_1144,expanded_semantic_merge_audit|review_broad_merge
153103,"https://www.archivespp.pl/Systems-consultation-opportunities-and-limitations,153103,0,2.html",2005,7,1,Systems consultation: opportunities and limitations,4,psychotherapeutic pro-,psychotherapeutic pro-,psychotherapeutic process,proces psychoterapeutyczny,app_sem_1266,exact_map:psychotherapeutic pro-->psychotherapeutic process,glossary_exact,high,semantic_merge_audit,https://www.archivespp.pl/Keyword-psychotherapeutic+pro-/438010,unchanged,app_kw_1309,psychotherapy,psychoterapia,expanded_merge_broad_psychotherapy,medium,app_sem_exp_1140,semantic_merge_audit|expanded_semantic_merge_audit|review_broad_merge
153106,"https://www.archivespp.pl/Native-psychotherapy-in-Russia,153106,0,2.html",2005,7,1,Native psychotherapy in Russia,2,psychotherapy,psychotherapy,psychotherapy,psychoterapia,app_sem_1270,no_semantic_change,glossary_exact,high,ok,https://www.archivespp.pl/Keyword-psychotherapy/309264,unchanged,app_kw_1314,psychotherapy,psychoterapia,expanded_merge_broad_psychotherapy,medium,app_sem_exp_1140,expanded_semantic_merge_audit|review_broad_merge
153107,"https://www.archivespp.pl/Social-functioning-in-first-episode-schizophrenia-1-year-follow-up-study,153107,0,2.html",2005,7,2,Social functioning in first-episode schizophrenia: 1-year follow-up study,2,schizophrenia,schizophrenia,schizophrenia,schizofrenia,app_sem_1347,no_semantic_change,glossary_exact,high,ok,https://www.archivespp.pl/Keyword-schizophrenia/387,unchanged,app_kw_1395,schizophrenia,schizofrenia,expanded_merge_subtype_to_parent,medium,app_sem_exp_1208,expanded_semantic_merge_audit|review_broad_merge
153108,"https://www.archivespp.pl/Coping-with-stress-in-subjects-who-have-experienced-a-traumatic-situation,153108,0,2.html",2005,7,2,Coping with stress in subjects who have experienced a traumatic situation,2,experience of trauma,experience of trauma,experience of trauma,experience of trauma,app_sem_0585,no_semantic_change,token_partial_review,medium,translation_review,https://www.archivespp.pl/Keyword-experience+of+trauma/438014,unchanged,app_kw_0613,trauma/traumatic experiences,trauma i doświadczenia traumatyczne,expanded_merge_broad_trauma,medium,app_sem_exp_1409,translation_review|expanded_semantic_merge_audit|review_broad_merge
153111,"https://www.archivespp.pl/Sparteine-oxidation-rate-in-alcohol-dependent-patients,153111,0,2.html",2005,7,2,Sparteine oxidation rate in alcohol dependent patients,3,alcohol dependence,alcohol dependence,alcohol dependence,uzależnienie od alkoholu,app_sem_0052,no_semantic_change,glossary_exact,high,ok,https://www.archivespp.pl/Keyword-alcohol+dependence/680,unchanged,app_kw_0053,alcohol use disorder,zaburzenie używania alkoholu,expanded_merge_historical_terms,medium,app_sem_exp_0042,expanded_semantic_merge_audit|review_broad_merge
153112,"https://www.archivespp.pl/New-aspects-of-Freud-s-concept-of-the-death-instinct,153112,0,2.html",2005,7,2,New aspects of Freud's concept of the death instinct,3,early childhood trauma,early childhood trauma,early childhood trauma,early childhood trauma,app_sem_0497,no_semantic_change,token_partial_review,medium,translation_review,https://www.archivespp.pl/Keyword-early+childhood+trauma/438020,unchanged,app_kw_0514,trauma/traumatic experiences,trauma i doświadczenia traumatyczne,expanded_merge_broad_trauma,medium,app_sem_exp_1409,translation_review|expanded_semantic_merge_audit|review_broad_merge
153113,"https://www.archivespp.pl/The-influence-of-Antoni-Kepinski-s-ideas-on-Jozef-Tischner-s-philosophy-and-its-psychiatric,153113,0,2.html",2005,7,2,The influence of Antoni Kepinski's ideas on Jozef Tischner's philosophy and its psychiatric implications,2,psychotherapeutic factors,psychotherapeutic factors,psychotherapeutic factor,psychotherapeutic czynnik,app_sem_1265,plural_to_concept:psychotherapeutic factors->psychotherapeutic factor,token_partial_review,medium,translation_review|semantic_merge_audit,https://www.archivespp.pl/Keyword-psychotherapeutic+factors/438022,unchanged,app_kw_1308,psychotherapy,psychoterapia,expanded_merge_broad_psychotherapy,medium,app_sem_exp_1140,translation_review|semantic_merge_audit|expanded_semantic_merge_audit|review_broad_merge
153115,"https://www.archivespp.pl/Depressive-symptoms-and-preclinical-Alzheimer-s-disease,153115,0,2.html",2005,7,3,Depressive symptoms and preclinical Alzheimer's disease,2,depression,depression,depression,depresja,app_sem_0430,no_semantic_change,glossary_exact,high,ok,https://www.archivespp.pl/Keyword-depression/494,unchanged,app_kw_0445,depression/depressive disorders,depresja i zaburzenia depresyjne,expanded_merge_broad_clinical,medium,app_sem_exp_0374,expanded_semantic_merge_audit|review_broad_merge
