semantic_family,semantic_family_label,family_group,working_definition,n_terms_strong,n_terms_medium,n_terms_weak,n_terms_name_marker,example_strong_markers,example_medium_markers,example_weak_markers,example_name_markers,top_article_hit_terms,n_articles_refined,pct_articles_refined,n_articles_any_marker,pct_articles_any_marker,top1_term,top1_share_of_family_articles_pct,content_note
drive_conflict_defense,Drive / conflict / defense,Classical / metapsychological,"Vocabulary of drive theory, psychic conflict, defense, resistance, aggression, libido, and related classical metapsychological conflict formulations.",37,3,0,0,aggressive drives | castration anxiety | castration complex | conflict | conflicts | death drive | death instinct | defence,aggression | aggressive | aggressive impulses,,,conflict | drive | conflicts | defence | resistance | oedipal | defense | aggression,4268,35.0871,4268,35.0871,conflict,32.03,"Working semantic family; examples are derived from refined marker map and QA top-term counts. Families are interpretive categories, not final ontology."
dream_fantasy_unconscious,Dream / fantasy / unconscious,Classical / metapsychological,"Vocabulary of dreams, fantasy, unconscious processes, phantasy, wish, symbol, and related imaginative or unconscious formations.",12,2,2,0,conscious unconscious | content dream | dream | dreams | fantasies | fantasy | interpretation dreams | psychic reality,wish enter | wishes,unconscious | wish,,unconscious | dream | wish | fantasy | dreams | fantasies | wishes | psychic reality,2309,18.9822,3844,31.6014,unconscious,52.99,"Working semantic family; examples are derived from refined marker map and QA top-term counts. Families are interpretive categories, not final ontology."
ego_self_narcissism,Ego / self / narcissism,Self / structure,"Vocabulary of ego, self, identity, subjectivity, narcissism, selfhood, and related self-structural concepts.",14,9,4,0,early ego | ego function | ego functions | ego ideal | ego psychology | ego superego | function ego | functions ego,analyst's subjectivity | parts self | self psychological | self psychology | self-esteem | self-report | sense guilt | sense self,ego | identity | self | subjectivity,,self | ego | narcissistic | identity | superego | narcissism | subjectivity | shame,2353,19.344,4910,40.365,self,53.2,"Working semantic family; examples are derived from refined marker map and QA top-term counts. Families are interpretive categories, not final ontology."
object_relations,Object relations,Object-relational traditions,"Vocabulary of objects, internal/external object relations, splitting, projective identification, and object-relational organization.",21,0,10,0,cognition object | depressive position | early object | external objects | internal object | internal objects | internalized object | love object,,external | external reality | external world | internal | internal external | internal world | object | objects,,object | internal | objects | external | object relations | splitting | projective identification | object relationships,2358,19.3851,3462,28.461,object,70.74,"Working semantic family; examples are derived from refined marker map and QA top-term counts. Families are interpretive categories, not final ontology."
kleinian_bionian,Kleinian / Bionian,Object-relational traditions,"Specific Kleinian and Bionian vocabulary, including projective identification, positions, container/contained, alpha function, beta elements, and related terms.",5,0,0,1,bion's | containment | klein melanie | melanie klein | melanie klein's,,,bion,bion | melanie klein | bion's | containment | melanie klein's | klein melanie,693,5.6971,693,5.6971,bion,56.85,"Working semantic family; examples are derived from refined marker map and QA top-term counts. Families are interpretive categories, not final ontology."
winnicottian_environment_holding,Winnicottian / holding,Object-relational traditions,"Vocabulary associated with Winnicottian holding, environment, transitionality, potential space, play, and facilitating conditions.",2,3,2,0,potential space | winnicott's collected,external environment | father mother | mother child,mother | play,,mother | play | mother child | potential space | external environment | winnicott's collected | father mother,308,2.5321,2050,16.853,mother,65.32,"Working semantic family; examples are derived from refined marker map and QA top-term counts. Families are interpretive categories, not final ontology."
attachment_development_infant,Attachment / development / infant,Developmental / attachment,"Vocabulary of infant research, child development, attachment, early development, caregiver relations, and developmental contexts.",13,12,5,0,adult attachment | attachment | attachment anxiety | attachment interview | attachment style | attachment styles | infancy | infants,child adolescent | child competition | child psychiatry | child psychotherapists | childhood | children adolescents | early childhood | early psychic,child | children | early | family | loss,,early | child | children | childhood | loss | family | attachment | infancy,2445,20.1003,4630,38.0631,early,39.48,"Working semantic family; examples are derived from refined marker map and QA top-term counts. Families are interpretive categories, not final ontology."
transference_countertransference,Transference / countertransference,Clinical process / technique,"Vocabulary of transference, countertransference, enactment, analytic relationship as transferential field, and related clinical process concepts.",10,0,0,0,countertransference | enactment | enactments | transference | transference countertransference | transference interpretation | transference neurosis | transference phenomena,,,,transference | countertransference | enactment | enactments | transference countertransference | transference-countertransference | transference neurosis | transference phenomena,2298,18.8918,2298,18.8918,transference,76.76,"Working semantic family; examples are derived from refined marker map and QA top-term counts. Families are interpretive categories, not final ontology."
technique_interpretation_process,Technique / interpretation / process,Clinical process / technique,"Vocabulary of analytic technique, interpretation, setting, frame, process, working through, free association, therapeutic action, and clinical procedure.",4,5,2,0,analyst's interpretations | interpretation | interpretations | therapeutic action,frame reference | psycho-analytic technique | technique | technique psycho-analysis | termination,setting | technical,,interpretation | technique | setting | technical | interpretations | termination | therapeutic action | psycho-analytic technique,2427,19.9523,3138,25.7974,interpretation,38.43,"Working semantic family; examples are derived from refined marker map and QA top-term counts. Families are interpretive categories, not final ontology."
relational_intersubjective_field,Relational / intersubjective / field,Relational / contextual,"Vocabulary of relational, intersubjective, interpersonal, mutual, dialogic, field, recognition, and co-constructed processes.",17,3,4,0,dynamic interpersonal | interpersonal | interpersonal dit | intersubjective | intersubjectivity | intrapsychic interpersonal | mitchell relational | relational,mutual influence | recognition | two-person,dialogue | mutual | relationship | relationships,,relationship | relational | relationships | dialogue | interpersonal | recognition | intersubjective | mutual,2735,22.4844,4409,36.2463,relationship,59.54,"Working semantic family; examples are derived from refined marker map and QA top-term counts. Families are interpretive categories, not final ontology."
