rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base,semantic_review_status,candidate_reason,suggested_family,term_norm_for_audit,audit_category,audit_reason,include_in_semantic_review,audit_scope,audit_stage,manual_override,manual_override_note
3,new,1,2017,894,56.654,1578,pending,psychoanalytic_dialogues_high_frequency_recon,,new,candidate_concept,kept_for_semantic_review,True,psychoanalytic_dialogues_candidate_queue,2b_recon_audit_terms,,
6,york,1,1532,712,45.12,1578,pending,psychoanalytic_dialogues_high_frequency_recon,,york,candidate_concept,kept_for_semantic_review,True,psychoanalytic_dialogues_candidate_queue,2b_recon_audit_terms,,
7,relational,1,1242,546,34.601,1578,pending,psychoanalytic_dialogues_high_frequency_recon,relational_intersubjective,relational,candidate_concept,kept_for_semantic_review,True,psychoanalytic_dialogues_candidate_queue,2b_recon_audit_terms,,
8,institute,1,1081,710,44.994,1578,pending,psychoanalytic_dialogues_high_frequency_recon,,institute,candidate_concept,kept_for_semantic_review,True,psychoanalytic_dialogues_candidate_queue,2b_recon_audit_terms,,
9,phd,1,1062,883,55.957,1578,pending,psychoanalytic_dialogues_high_frequency_recon,,phd,candidate_concept,kept_for_semantic_review,True,psychoanalytic_dialogues_candidate_queue,2b_recon_audit_terms,,
13,faculty,1,871,624,39.544,1578,pending,psychoanalytic_dialogues_high_frequency_recon,,faculty,candidate_concept,kept_for_semantic_review,True,psychoanalytic_dialogues_candidate_queue,2b_recon_audit_terms,,
15,university,1,837,576,36.502,1578,pending,psychoanalytic_dialogues_high_frequency_recon,,university,candidate_concept,kept_for_semantic_review,True,psychoanalytic_dialogues_candidate_queue,2b_recon_audit_terms,,
17,about,1,826,477,30.228,1578,pending,psychoanalytic_dialogues_high_frequency_recon,,about,candidate_concept,kept_for_semantic_review,True,psychoanalytic_dialogues_candidate_queue,2b_recon_audit_terms,,
18,between,1,825,513,32.51,1578,pending,psychoanalytic_dialogues_high_frequency_recon,,between,candidate_concept,kept_for_semantic_review,True,psychoanalytic_dialogues_candidate_queue,2b_recon_audit_terms,,
22,psychology,1,711,445,28.2,1578,pending,psychoanalytic_dialogues_high_frequency_recon,,psychology,candidate_concept,kept_for_semantic_review,True,psychoanalytic_dialogues_candidate_queue,2b_recon_audit_terms,,
23,com,1,702,684,43.346,1578,pending,psychoanalytic_dialogues_high_frequency_recon,,com,candidate_concept,kept_for_semantic_review,True,psychoanalytic_dialogues_candidate_queue,2b_recon_audit_terms,,
24,program,1,678,513,32.51,1578,pending,psychoanalytic_dialogues_high_frequency_recon,,program,candidate_concept,kept_for_semantic_review,True,psychoanalytic_dialogues_candidate_queue,2b_recon_audit_terms,,
25,trauma,1,649,290,18.378,1578,pending,psychoanalytic_dialogues_high_frequency_recon,affect_trauma_regulation,trauma,candidate_concept,kept_for_semantic_review,True,psychoanalytic_dialogues_candidate_queue,2b_recon_audit_terms,,
26,self,1,631,319,20.215,1578,pending,psychoanalytic_dialogues_high_frequency_recon,self_narcissism,self,candidate_concept,kept_for_semantic_review,True,psychoanalytic_dialogues_candidate_queue,2b_recon_audit_terms,,
27,training,1,614,446,28.264,1578,pending,psychoanalytic_dialogues_high_frequency_recon,,training,candidate_concept,kept_for_semantic_review,True,psychoanalytic_dialogues_candidate_queue,2b_recon_audit_terms,,
29,also,1,596,472,29.911,1578,pending,psychoanalytic_dialogues_high_frequency_recon,,also,candidate_concept,kept_for_semantic_review,True,psychoanalytic_dialogues_candidate_queue,2b_recon_audit_terms,,
