semantic_family,term,n_articles,n_family_articles,share_of_family_articles_pct,risk_reasons,recommended_action,semantic_confidence,mapping_rule,matched_pattern,review_flag,proposed_audit_decision,manual_new_family,manual_note
dream_fantasy_unconscious,unconscious,2037,3844,52.99,high_share_within_family,review_term_specificity,high,unconscious_terms,\bunconscious\b|\bpreconscious\b|\bsubconscious\b,,,,
dream_fantasy_unconscious,wish,618,3844,16.08,short_single_token,review_term_specificity,medium,wish_terms,\bwish(es)?\b|\bwish[- ]fulfillment\b,optional_review_medium_confidence,,,
ego_self_narcissism,self,2612,4910,53.2,family_specific_high_risk_term | high_share_within_family | short_single_token | known_broad_polysemous_term,review_term_specificity,medium,self_terms_polysemous,\bself\b|\bselfhood\b|\bself[- ]experience\b|\bself[- ]state(s)?\b|\bselfobject(s)?\b,optional_review_medium_confidence,,,
ego_self_narcissism,ego,1721,4910,35.05,short_single_token,review_term_specificity,high,structural_ego_terms,\bego\b|\bid\b|\bsuperego\b|\bego[- ]ideal\b,,,,
ego_self_narcissism,identity,627,4910,12.77,family_specific_high_risk_term,review_term_specificity,medium,identity_subjectivity_terms,\bidentity\b|\bidentities\b|\bsubjectivity\b|\bsubjective\b,optional_review_medium_confidence,,,
ego_self_narcissism,subjectivity,369,4910,7.52,family_specific_high_risk_term,review_term_specificity,medium,identity_subjectivity_terms,\bidentity\b|\bidentities\b|\bsubjectivity\b|\bsubjective\b,optional_review_medium_confidence,,,
object_relations,object,2449,3462,70.74,family_specific_high_risk_term | high_share_within_family | known_broad_polysemous_term,review_term_specificity,high,object_relations_terms,\bobject(s)?\b|\bobject[- ]relations\b|\binternal object(s)?\b|\bexternal object(s)?\b,,,,
object_relations,internal,942,3462,27.21,family_specific_high_risk_term,review_term_specificity,low,broad_internal_external_review,\binternal\b|\bexternal\b,manual_review_low_confidence,,,
object_relations,objects,741,3462,21.4,family_specific_high_risk_term,review_term_specificity,high,object_relations_terms,\bobject(s)?\b|\bobject[- ]relations\b|\binternal object(s)?\b|\bexternal object(s)?\b,,,,
object_relations,external,730,3462,21.09,family_specific_high_risk_term,review_term_specificity,low,broad_internal_external_review,\binternal\b|\bexternal\b,manual_review_low_confidence,,,
kleinian_bionian,bion,394,693,56.85,high_share_within_family | short_single_token,review_term_specificity,high,bion_containment_terms,\bbion\b|\bbionian\b|\bcontainer\b|\bcontained\b|\bcontainment\b|\bcontaining\b,,,,
winnicottian_environment_holding,mother,1343,2056,65.32,high_share_within_family,review_term_specificity,medium,maternal_environment_overlap,\bmother\b|\bmaternal\b|\bmothering\b|\benvironment\b|\bcaregiver(s)?\b,manual_review_multiple_family_matches,,,
winnicottian_environment_holding,play,805,2056,39.15,short_single_token,review_term_specificity,medium,play_creativity_terms,\bplay\b|\bplaying\b|\bcreativity\b|\bcreative\b,optional_review_medium_confidence,,,
attachment_development_infant,early,1828,4630,39.48,family_specific_high_risk_term,review_term_specificity,medium,development_terms,\bdevelopment(al)?\b|\bdevelopmentally\b|\bearly\b|\bearly life\b,optional_review_medium_confidence,,,
attachment_development_infant,child,1603,4630,34.62,family_specific_high_risk_term,review_term_specificity,medium,child_adolescent_terms,\bchild\b|\bchildren\b|\bchildhood\b|\badolescent(s|ce)?\b|\badolescence\b,optional_review_medium_confidence,,,
attachment_development_infant,children,968,4630,20.91,family_specific_high_risk_term,review_term_specificity,medium,child_adolescent_terms,\bchild\b|\bchildren\b|\bchildhood\b|\badolescent(s|ce)?\b|\badolescence\b,optional_review_medium_confidence,,,
attachment_development_infant,loss,677,4630,14.62,short_single_token,review_term_specificity,high,attachment_terms,\battachment\b|\bbowlby\b|\bsecure base\b|\bseparation\b|\bloss\b,,,,
attachment_development_infant,family,559,4630,12.07,family_specific_high_risk_term,review_term_specificity,medium,family_maternal_overlap,\bmother\b|\bmaternal\b|\bparent(s|al)?\b|\bfamily\b,optional_review_medium_confidence,,,
transference_countertransference,transference,1764,2298,76.76,high_share_within_family,review_term_specificity,high,transference_terms,\btransference\b|\btransferential\b,,,,
technique_interpretation_process,setting,641,3138,20.43,family_specific_high_risk_term,review_term_specificity,medium,technique_setting_terms,\btechnique(s)?\b|\btechnical\b|\bsetting\b|\bframe\b,optional_review_medium_confidence,,,
technique_interpretation_process,technical,548,3138,17.46,family_specific_high_risk_term,review_term_specificity,medium,technique_setting_terms,\btechnique(s)?\b|\btechnical\b|\bsetting\b|\bframe\b,optional_review_medium_confidence,,,
relational_intersubjective_field,relationship,2625,4409,59.54,family_specific_high_risk_term | high_share_within_family | known_broad_polysemous_term,review_term_specificity,high,relational_terms,\brelational\b|\brelationship(s)?\b|\binterpersonal\b,,,,
relational_intersubjective_field,relationships,835,4409,18.94,family_specific_high_risk_term,review_term_specificity,high,relational_terms,\brelational\b|\brelationship(s)?\b|\binterpersonal\b,,,,
relational_intersubjective_field,dialogue,738,4409,16.74,family_specific_high_risk_term,review_term_specificity,medium,dialogue_mutuality_terms,\bmutual\b|\breciprocal\b|\bdialogue\b|\bdialogic\b|\bdialogical\b,optional_review_medium_confidence,,,
relational_intersubjective_field,mutual,322,4409,7.3,family_specific_high_risk_term,review_term_specificity,medium,dialogue_mutuality_terms,\bmutual\b|\breciprocal\b|\bdialogue\b|\bdialogic\b|\bdialogical\b,optional_review_medium_confidence,,,
trauma_dissociation_affect_regulation,emotional,1015,4036,25.15,family_specific_high_risk_term,review_term_specificity,medium,affect_emotion_terms,\baffect(s|ive)?\b|\bemotion(s|al)?\b|\bfeeling(s)?\b,optional_review_medium_confidence,,,
trauma_dissociation_affect_regulation,anxiety,976,4036,24.18,family_specific_high_risk_term,review_term_specificity,medium,affect_specific_terms,\bshame\b|\bguilt\b|\bfear\b|\banxiety\b|\bterror\b,optional_review_medium_confidence,,,
trauma_dissociation_affect_regulation,affect,906,4036,22.45,family_specific_high_risk_term,review_term_specificity,medium,affect_emotion_terms,\baffect(s|ive)?\b|\bemotion(s|al)?\b|\bfeeling(s)?\b,optional_review_medium_confidence,,,
trauma_dissociation_affect_regulation,feelings,794,4036,19.67,family_specific_high_risk_term,review_term_specificity,medium,affect_emotion_terms,\baffect(s|ive)?\b|\bemotion(s|al)?\b|\bfeeling(s)?\b,optional_review_medium_confidence,,,
psychosis_borderline_primitive_states,primitive,523,1196,43.73,high_share_within_family,review_term_specificity,medium,primitive_early_state_terms,\bprimitive\b|\barchaic\b|\bearly states?\b|\bautistic\b,optional_review_medium_confidence,,,
psychosis_borderline_primitive_states,psychotic,488,1196,40.8,high_share_within_family,review_term_specificity,high,psychosis_terms,\bpsychosis\b|\bpsychotic\b|\bschizophrenia\b|\bschizoid\b,,,,
body_sexuality_gender,body,898,2503,35.88,short_single_token,review_term_specificity,high,body_terms,\bbody\b|\bbodily\b|\bsomatic\b|\bcorporeal\b|\bembod(ied|iment)\b,,,,
language_narrative_symbolization,meaning,1268,2838,44.68,high_share_within_family,review_term_specificity,medium,representation_meaning_terms,\brepresentation(s)?\b|\brepresentational\b|\bmeaning\b|\bmetaphor(s)?\b,optional_review_medium_confidence,,,
culture_race_social_ethics,social,1191,2667,44.66,family_specific_high_risk_term | high_share_within_family,review_term_specificity,medium,culture_social_terms,\bculture\b|\bcultural\b|\bsociety\b|\bsocial\b|\bpolitical\b,optional_review_medium_confidence,,,
culture_race_social_ethics,culture,568,2667,21.3,family_specific_high_risk_term,review_term_specificity,medium,culture_social_terms,\bculture\b|\bcultural\b|\bsociety\b|\bsocial\b|\bpolitical\b,optional_review_medium_confidence,,,
culture_race_social_ethics,cultural,540,2667,20.25,family_specific_high_risk_term,review_term_specificity,medium,culture_social_terms,\bculture\b|\bcultural\b|\bsociety\b|\bsocial\b|\bpolitical\b,optional_review_medium_confidence,,,
culture_race_social_ethics,political,405,2667,15.19,family_specific_high_risk_term,review_term_specificity,medium,culture_social_terms,\bculture\b|\bcultural\b|\bsociety\b|\bsocial\b|\bpolitical\b,optional_review_medium_confidence,,,
culture_race_social_ethics,war,354,2667,13.27,short_single_token,review_term_specificity,medium,social_historical_trauma_overlap,\bwar\b|\bviolence\b|\bholocaust\b|\bgenocide\b|\bmigration\b|\brefugee(s)?\b,optional_review_medium_confidence,,,
culture_race_social_ethics,responsibility,203,2667,7.61,family_specific_high_risk_term,review_term_specificity,medium,ethics_terms,\bethic(s|al)?\b|\bmoral\b|\bresponsibility\b|\bjustice\b,optional_review_medium_confidence,,,
culture_race_social_ethics,race,186,2667,6.97,short_single_token,review_term_specificity,high,race_ethnicity_terms,\brace\b|\bracial\b|\bracism\b|\bethnic\b|\bethnicity\b|\bcolonial\b|\bpostcolonial\b,,,,
empirical_research_measurement,evidence,653,1803,36.22,family_specific_high_risk_term,review_term_specificity,medium,empirical_terms,\bempirical\b|\bresearch\b|\bstudy\b|\bdata\b|\bevidence\b,optional_review_medium_confidence,,,
history_theory_schools,freud,3099,3436,90.19,high_share_within_family,review_term_specificity,high,freud_school_terms,\bfreud\b|\bfreudian\b|\bsigmund freud\b,,,,
history_theory_schools,freud's,1718,3436,50.0,high_share_within_family,review_term_specificity,high,freud_school_terms,\bfreud\b|\bfreudian\b|\bsigmund freud\b,,,,
