rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base,semantic_review_status,candidate_reason,suggested_family,term_norm_for_audit,audit_category,audit_reason,include_in_semantic_review,audit_scope,audit_stage,manual_override,manual_override_note
4,new,1,2518,1371,46.888,2924,pending,japa_high_frequency_recon,,new,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
7,york,1,1539,961,32.866,2924,pending,japa_high_frequency_recon,,york,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
11,one,1,1392,907,31.019,2924,pending,japa_high_frequency_recon,,one,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
13,about,1,1316,798,27.291,2924,pending,japa_high_frequency_recon,,about,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
14,between,1,1294,817,27.941,2924,pending,japa_high_frequency_recon,,between,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
15,ego,1,1281,473,16.176,2924,pending,japa_high_frequency_recon,,ego,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
17,freud,1,1230,573,19.596,2924,pending,japa_high_frequency_recon,,freud,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
19,research,1,1134,528,18.057,2924,pending,japa_high_frequency_recon,,research,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
24,training,1,1033,486,16.621,2924,pending,japa_high_frequency_recon,,training,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
25,transference,1,1021,380,12.996,2924,pending,japa_high_frequency_recon,transference_countertransference,transference,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
26,object,1,1018,438,14.979,2924,pending,japa_high_frequency_recon,object_relations,object,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
27,other,1,1005,717,24.521,2924,pending,japa_high_frequency_recon,,other,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
28,e-mail,1,992,945,32.319,2924,pending,japa_high_frequency_recon,,e-mail,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
29,freud's,1,935,448,15.321,2924,pending,japa_high_frequency_recon,,freud's,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
30,both,1,895,714,24.419,2924,pending,japa_high_frequency_recon,,both,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
31,street,1,894,870,29.754,2924,pending,japa_high_frequency_recon,,street,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
32,all,1,819,605,20.691,2924,pending,japa_high_frequency_recon,,all,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
33,two,1,800,602,20.588,2924,pending,japa_high_frequency_recon,,two,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
34,also,1,797,640,21.888,2924,pending,japa_high_frequency_recon,,also,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
35,life,1,790,523,17.886,2924,pending,japa_high_frequency_recon,,life,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
36,time,1,783,477,16.313,2924,pending,japa_high_frequency_recon,,time,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
37,early,1,770,480,16.416,2924,pending,japa_high_frequency_recon,,early,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
38,american,1,760,482,16.484,2924,pending,japa_high_frequency_recon,,american,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
39,unconscious,1,758,436,14.911,2924,pending,japa_high_frequency_recon,,unconscious,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
40,association,1,713,478,16.347,2924,pending,japa_high_frequency_recon,,association,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
41,university,1,699,504,17.237,2924,pending,japa_high_frequency_recon,,university,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
42,only,1,673,529,18.092,2924,pending,japa_high_frequency_recon,,only,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
43,first,1,671,493,16.86,2924,pending,japa_high_frequency_recon,,first,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
44,com,1,669,614,20.999,2924,pending,japa_high_frequency_recon,,com,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
45,child,1,668,303,10.363,2924,pending,japa_high_frequency_recon,development_attachment,child,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
46,many,1,659,506,17.305,2924,pending,japa_high_frequency_recon,,many,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
47,years,1,651,447,15.287,2924,pending,japa_high_frequency_recon,,years,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
48,therapeutic,1,650,318,10.876,2924,pending,japa_high_frequency_recon,technique_process,therapeutic,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
49,understanding,1,645,463,15.834,2924,pending,japa_high_frequency_recon,,understanding,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
50,relationship,1,645,409,13.988,2924,pending,japa_high_frequency_recon,,relationship,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
51,psychology,1,644,363,12.415,2924,pending,japa_high_frequency_recon,,psychology,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
53,summary,1,625,613,20.964,2924,pending,japa_high_frequency_recon,,summary,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
54,self,1,616,267,9.131,2924,pending,japa_high_frequency_recon,self_narcissism,self,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
55,institute,1,605,455,15.561,2924,pending,japa_high_frequency_recon,,institute,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
56,robert,1,595,176,6.019,2924,pending,japa_high_frequency_recon,,robert,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
57,psychic,1,581,312,10.67,2924,pending,japa_high_frequency_recon,,psychic,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
58,dream,1,579,154,5.267,2924,pending,japa_high_frequency_recon,,dream,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
59,out,1,578,404,13.817,2924,pending,japa_high_frequency_recon,,out,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
61,avenue,1,572,561,19.186,2924,pending,japa_high_frequency_recon,,avenue,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
62,psychiatry,1,571,432,14.774,2924,pending,japa_high_frequency_recon,,psychiatry,candidate_concept,kept_for_semantic_review,True,japa_candidate_queue,2b_recon_audit_terms,,
