rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base,journal_key,n_records_group,period,semantic_review_status,candidate_reason,suggested_family,term_norm_for_audit,audit_category,audit_reason,include_in_semantic_review,audit_scope,audit_stage,manual_override,manual_override_note
5,new,1,7999,4410,36.255,12164,,,,pending,global_and_comparative_high_frequency_recon,,new,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
6,between,1,6616,4011,32.974,12164,,,,pending,global_and_comparative_high_frequency_recon,,between,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
8,one,1,6430,4023,33.073,12164,,,,pending,global_and_comparative_high_frequency_recon,,one,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
12,about,1,5579,3426,28.165,12164,,,,pending,global_and_comparative_high_frequency_recon,,about,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
14,freud,1,5390,2350,19.319,12164,,,,pending,global_and_comparative_high_frequency_recon,,freud,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
18,other,1,5004,3501,28.782,12164,,,,pending,global_and_comparative_high_frequency_recon,,other,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
22,york,1,4543,2713,22.304,12164,,,,pending,global_and_comparative_high_frequency_recon,,york,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
23,also,1,4350,3339,27.45,12164,,,,pending,global_and_comparative_high_frequency_recon,,also,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
24,object,1,4293,1878,15.439,12164,,,,pending,global_and_comparative_high_frequency_recon,object_relations,object,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
25,ego,1,4140,1530,12.578,12164,,,,pending,global_and_comparative_high_frequency_recon,,ego,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
26,all,1,4058,2843,23.372,12164,,,,pending,global_and_comparative_high_frequency_recon,,all,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
27,both,1,3950,3054,25.107,12164,,,,pending,global_and_comparative_high_frequency_recon,,both,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
28,two,1,3934,2788,22.92,12164,,,,pending,global_and_comparative_high_frequency_recon,,two,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
30,transference,1,3795,1552,12.759,12164,,,,pending,global_and_comparative_high_frequency_recon,transference_countertransference,transference,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
31,time,1,3753,2294,18.859,12164,,,,pending,global_and_comparative_high_frequency_recon,,time,candidate_concept,kept_for_semantic_review,True,psychoanalytic_core_global_candidate_queue,2b_recon_audit_terms,,
